gaze_point_3d_x,gaze_point_3d_y
-192.22196570124308,-145.32759620541344
-164.59989842715567,-164.49370389353484
-184.1830924024824,-142.4680732054924
-185.84637662177704,-145.42267378852745
-188.69302555381145,-146.56501342605156
-188.39622900679706,-146.9117820698803
-188.36000898273716,-147.32253498328924
-193.03793861184897,-143.7962187279513
-195.8258509826965,-145.2719224189769
-198.70246973467255,-136.04350421981644
-189.2405611961565,-155.17399975581478
-196.19696840103657,-135.1915036623502
-198.9425442371211,-137.74851374711085
-201.93452376790265,-138.67785838343045
-207.97571829279693,-140.4379631140537
-184.3905590821859,-160.11142952285448
-197.2372570828868,-136.16235679479496
-199.58250766833766,-139.02754164508647
-202.56066136206735,-139.94049539599874
-178.8906639728206,-159.66549941980875
-194.83958693468037,-136.47539196679983
-196.89304611984772,-139.24517147315706
-199.84214762374393,-140.12987491969682
-152.89554846832203,-174.63516024391183
-141.34233731248253,-149.96932335173022
-167.08622542857577,-142.65371461025845
-167.939837630505,-144.40981593748688
-170.59487079554066,-145.32884925948406
-173.279104061939,-146.25898877084546
-175.99130868755444,-147.20038295122527
-178.73034479667726,-148.1531031894158
-146.79619641485905,-166.3731605953604
-173.4470770387788,-145.75876079453104
-145.71094433291265,-149.48288007678693
-170.7274493400111,-144.78452280819354
-171.79294720724346,-146.11323123452
-147.16895034808647,-148.36429796114854
-172.06594971438938,-143.60617063199476
-173.1699349774169,-144.89537746242314
-175.9334095643408,-145.74088549609615
-152.33776928123035,-160.7518991241394
-171.84053420537427,-148.8785676313976
-173.35975999115374,-150.76500748933583
-174.37266129941568,-146.1560996043741
-152.64561218826586,-167.07421802638083
-146.89065988172814,-147.71128873240733
-167.0657785615404,-143.79639881553197
-145.27847011959753,-146.55067184805856
-166.55157642477852,-140.86923136137145
-144.29698808169988,-147.57590291867146
-165.62690619526836,-141.56726854867594
-166.99292350304026,-142.80566115105606
-143.74895979075575,-149.11450679567062
-142.40898873412422,-148.77660427446898
-145.3770680744782,-149.64436901674082
-124.8897476416119,-149.63376233911146
-144.97259557229944,-148.8400551961808
-146.18768025593872,-149.77378457612915
-148.73234270683568,-150.5831126930377
-124.80733660395865,-149.3192298035543
-125.93196010386069,-147.97606147890014
-144.44975125986988,-147.24908069863432
-125.11198851824432,-150.07853253280595
-141.4938677484763,-148.25318273753217
-143.0258870203735,-149.20651113080095
-147.09495416974954,-145.22817257997465
-125.95416221636336,-148.80397044445198
-126.20973177572677,-147.86168666811952
-132.59098440541203,-149.46602201584483
-95.42426846195619,-162.30846725766008
-121.53614489236188,-146.29986261253038
-122.17789177208991,-148.31045017247888
-124.56311296043464,-149.0153793972711
-106.22449433736773,-165.6028828398575
-119.73719417127592,-147.13817452753898
-119.87136094218323,-154.0680298076863
-122.38081557087469,-154.46032449538396
-124.8103943249229,-155.25292502715635
-123.63028041691433,-155.30001154017157
-122.74548347315994,-155.40669512621662
-125.51611861691794,-156.26559078685534
-124.3849835779676,-156.31660936783138
-123.5486978219756,-156.4273276660497
-127.85815450214099,-152.56741282061435
-109.58663683503167,-169.5061666102926
-112.04741983631143,-173.872270173678
-109.25569117497193,-178.48546155415124
-125.52440566719036,-162.11620188669218
-124.88972010868778,-158.97788246124242
-125.52798748209199,-154.7713401608702
-124.67833330872355,-155.20091232678834
-123.94740637852834,-155.23835632669338
-123.21192247455829,-155.27282809812823
-126.13027914391245,-156.05981260264775
-125.15118472480566,-156.03813159355587
-97.66298562920304,-165.74473362771542
-103.09702633230827,-150.9954951364817
-78.06290371594179,-162.67677618107928
-105.87154250004315,-152.13559713564393
-106.38575969157009,-153.64729677007904
-105.08427835479262,-153.56337162673063
-84.440170439481,-164.77491484039757
-83.26400501241645,-168.70684655435218
-104.53262615933488,-147.8783794328334
-105.51462733946266,-150.21577416189473
-108.06738612429393,-150.7912184582891
-83.4020550144428,-161.1657605400727
-103.71890258810168,-149.104715533486
-103.54396953991682,-155.3904780853596
-106.22644495484019,-155.65258059743934
-108.83554353187571,-156.31480604930198
-80.45319076997544,-166.01631348885465
-102.55586440438674,-149.38491881625407
-103.7399974605398,-151.32552366482295
-106.38175249449205,-151.89599056596975
-109.06989130478738,-152.476983736355
-79.2788589667804,-166.8233865014419
-103.94634517557049,-155.27253105258177
-104.9918684798754,-156.84550429922686
-68.70645507812182,-165.15055569674945
-88.68831803182138,-158.00354206105558
-91.39179242944036,-154.55252493700422
-93.83298700838833,-155.54784605054965
-92.59179340447702,-155.43616516993666
-91.6626420450387,-155.38155582405918
-94.58599935631787,-156.0503667380623
-97.23867658878714,-156.67017389337727
-56.63322934887924,-164.33372558749628
-90.14780086852028,-154.5733757503559
-90.48533308898095,-155.98006814678257
-89.27355665538514,-155.86139077625347
-92.24462859729005,-156.52339911405295
-91.09436396772301,-156.41045846336036
-94.1129083957502,-157.0800295496483
-96.86103814967242,-157.70094835279633
-91.99671909606255,-156.87562860845654
-91.53577620196106,-156.8829590790038
-90.7534308008083,-156.8278429538389
-93.82239438239506,-157.4951246829603
-69.07575689823449,-167.9409572291412
-89.74298272042202,-155.9190903476368
-91.18783356165397,-157.5067129930009
-93.98745299539272,-158.11640842025264
-94.42297726217276,-153.28389295151342
-93.65808167592391,-153.54457374770053
-93.00648534736655,-153.41226818302104
