index	mood	unique_interactions	alone	morale	stress	fatigue	compulsions	getting_ready_activity	_activity	relaxing_activity	just_woke_up_activity	in_class_activity	with_k_activity	with_friends_activity	chatting_activity	emails_activity	leisure_activity	with_parents_activity	resting_activity	trying_to_leave_apt_activity	eating_activity	therapy_activity	working_out_activity	feedly_activity	working_activity	mozfest_activity	ash_stuff_activity	reading_activity	schoolwork_activity	email_activity	schoolworking_activity	commuting_activity	tv_activity	errands_activity	meditation_activity	washing_up_activity	sstudying_activity	cooking_activity	studying_activity	work_activity	shopping_activity	workshop_activity	la_location	k_home_location	cafe_location	parsons_location	airport_location	friend_home_location	mountain_view_location	mozfest_house_location	home_location	mozfest_location	parents_home_location	school_location	therapy_location	vacation_location	london_location	library_location	hour_of_day	avg_attention	avg_engagement	avg_valence	blinks	emoji	Sadness_score	Analytical_score	Joy_score	Fear_score	Tentative_score	Anger_score	Confident_score	word_count	uniqueword_ratio	backspace_count	avg_dwelltime	avg_flighttime	stepCount	current_tabCount	current_windowCount	tabs_activated	tabs_created	windows_created	productivity_score	phone_unlocks	phone_use_secs	heart_rate
29	2.0	2	True	2.5	1.0	4.0	True	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	14	96.98613587037765	9.449580253555096	-6.415499200835266	24.0	4.0	0.512257	0.0	0.539578	0.0	0.0	0.0	0.0	433.0	0.394919168591224	297.0	0.08424347606709583	0.13980256052246	16.0	30.0	2.0	27.0	3.0	0.0	52.2	2.0	39.0	73.0
30	1.5	1	True	2.0	4.0	4.0	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	15	98.4140418476801	2.316692432087001	-0.6865788183359377	5.0	2.0	0.0	0.713197	0.0	0.0	0.828235	0.574881	0.0	105.0	0.7333333333333333	139.0	0.08700645584186525	0.17797958192039703	16.0	30.0	2.0	22.0	2.0	0.0	31.89	3.0	114.0	78.0
31	3.0	1	True	4.0	0.0	0.0	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	15	98.25659270582695	6.115651753899867	-2.2795569345978275	0.0	2.0	0.544151	0.0	0.509283	0.0	0.0	0.0	0.0	79.0	0.6329113924050633	114.0	0.2439095033962318	0.4344901566738849	0.0	30.0	2.0	0.0	0.0	0.0	93.8	29.0	1055.0	73.0
32	3.0	2	True	4.0	0.0	0.0	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	16	98.25659270582695	6.115651753899867	-2.2795569345978275	0.0	2.0	0.544151	0.0	0.509283	0.0	0.0	0.0	0.0	79.0	0.6329113924050633	114.0	0.2439095033962318	0.4344901566738849	0.0	30.0	2.0	0.0	0.0	0.0	93.8	29.0	1055.0	73.0
33	3.0	1	True	4.0	0.0	0.0	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	17	96.93787747621536	12.471770533447852	-5.315282004117762	1.0	1.0	0.631474	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.8636363636363636	93.0	0.29033325743798766	0.43839870986303614	0.0	29.0	2.0	0.0	0.0	0.0	58.08	1.0	14.0	73.0
34	3.0	0	True	3.0	0.0	0.0	True	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	18	97.92390420230818	4.230547467499603	-2.8718537112077076	0.0	1.0	0.508284	0.616898	0.0	0.0	0.0	0.0	0.0	36.0	0.8611111111111112	9.0	0.11543628440962897	0.3321986164607055	0.0	28.0	2.0	4.0	0.0	0.0	95.85	1.0	180.0	64.0
35	3.0	0	True	3.0	0.0	1.0	True	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	19	97.3185981326633	10.171406010993653	-4.176785487433275	0.0	3.0	0.534959	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.7692307692307693	62.0	0.221242119959735	0.6636933475774024	199.0	30.0	2.0	0.0	0.0	0.0	81.38	1.0	180.0	72.0
36	2.5	0	True	2.5	0.0	2.0	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	20	97.3272642887	3.010862570109241	-1.4447275815813831	0.0	2.0	0.0	0.892619	0.0	0.0	0.0	0.0	0.624531	86.0	0.627906976744186	121.0	0.1447224854568427	0.34591689356442157	199.0	31.0	2.0	21.0	3.0	0.0	49.9	1.0	5.0	72.0
37	3.0	1	True	3.0	0.0	2.0	True	False	True	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	21	97.3272642887	3.010862570109241	-1.4447275815813831	0.0	2.0	0.0	0.892619	0.0	0.0	0.0	0.0	0.624531	86.0	0.627906976744186	121.0	0.1447224854568427	0.34591689356442157	199.0	31.0	2.0	21.0	3.0	0.0	49.9	1.0	5.0	72.0
38	3.0	0	True	3.0	0.0	2.0	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	17	83.65286910052791	30.877476135110108	-16.12572906049378	8.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.8461538461538461	3.0	0.18478303220536973	0.3654986051172992	178.0	27.0	2.0	7.0	0.0	0.0	77.83	7.0	264.0	64.0
39	3.0	0	True	3.0	0.0	1.5	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	18	96.62134881019593	2.301180212351028	-0.05865298584103584	23.0	2.0	0.0	0.0	0.568467	0.0	0.0	0.0	0.0	26.0	0.8461538461538461	24.0	0.18413893855803193	0.5123214516749672	178.0	26.0	2.0	3.0	0.0	0.0	90.05	28.0	752.0	64.0
40	3.0	0	True	2.0	0.0	3.5	True	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	19	95.75291098661201	18.030765361685393	-12.184777558057807	6.0	6.0	0.653312	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.6	11.0	0.0785801749480398	0.21629598585225768	113.0	27.0	2.0	15.0	2.0	0.0	56.25	5.0	107.0	70.0
41	3.0	2	True	3.0	1.0	2.0	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	19	97.4630725653336	79.5052609906454	47.05548019070457	25.0	6.0	0.0	0.0	0.542118	0.0	0.876641	0.0	0.0	117.0	0.6666666666666666	109.0	0.09418694178263347	0.2007533296808466	298.0	30.0	3.0	36.0	9.0	0.0	50.0	1.0	120.0	76.0
42	3.5	4	True	4.0	1.0	1.5	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	21	97.07702047284545	3.9811540666241463	-0.39233639774911944	0.0	2.0	0.5849	0.0	0.597864	0.573583	0.945254	0.0	0.0	120.0	0.6833333333333333	185.0	0.08635648798754834	0.182199831692821	166.0	31.0	3.0	82.0	7.0	0.0	75.0	1.0	120.0	76.0
43	3.0	1	True	3.0	1.0	2.0	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	22	93.88742616608387	12.618526905745737	-0.3419428109301357	2.0	2.0	0.63917	0.0	0.0	0.0	0.0	0.0	0.979426	13.0	1.0	14.0	0.1096664029498433	0.3265632372822253	585.0	38.0	4.0	15.0	1.0	0.0	100.0	5.0	87.0	72.0
44	3.0	0	True	3.5	1.5	2.5	True	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	23	97.66648990332835	5.220218436616193	-0.3986609065483627	2.0	2.0	0.0	0.723884	0.548144	0.0	0.0	0.0	0.0	22.0	0.9090909090909091	71.0	0.11706654940332685	0.3588665751298053	585.0	39.0	3.0	34.0	7.0	2.0	100.0	5.0	87.0	80.0
45	3.0	3	True	3.5	1.0	1.5	True	False	True	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	18	96.65492579274022	33.230163530017116	-19.233703266655535	7.0	5.0	0.615093	0.0	0.56491	0.0	0.87524	0.0	0.0	119.0	0.6722689075630253	85.0	0.08902501230967919	0.23933179103411162	19.0	32.0	3.0	17.0	1.0	0.0	94.19	4.0	97.0	87.0
