	time	mood	social	alone	morale	stress	fatigue	compulsions	with_k_activity	therapy_activity	work_activity	working_activity	with_parents_activity	errandss_activity	washing_up_activity	school_work_activity	reading_activity	commuting_activity	meditation_activity	shopping_activity	tv_activity	chatting_activity	studying_activity	email_activity	eating_activity	workshop_activity	in_class_activity	just_woke_up_activity	cooking_activity	errands_activity	schoolwork_activity	feedly_activity	ash_stuff_activity	resting_activity	with_friends_activity	getting_ready_activity	working_out_activity	trying_to_leave_apt_activity	leisure_activity	mountain_view_location	vacation_location	la_location	parents_home_location	therapy_location	home_location	michelle_home_location	airport_location	k_home_location	cafe_location	library_location	school_location	Sadness_score	Analytical_score	Joy_score	Fear_score	Tentative_score	Anger_score	Confident_score	avg_attention	avg_engagement	avg_valence	blinks	productivity_score	current_tabCount	current_windowCount	tabs_activated	tabs_created	windows_created	calorie	distance	mean_speed
21	2018-05-18 14:58:21.794635-04:00	2.5	2	True	3.5	0.0	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.888766	0.0	0.0	98.03174319077029	0.20842824348918565	0.08456193096696027	2	21.22	23	1	33	7	0	0.0	0.0	0.0
22	2018-05-18 15:58:21.794635-04:00	2.5	3	True	3.0	0.0	2.5	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.888766	0.0	0.0	96.59130672913219	3.923994730892468	-1.126756112468704	3	57.74	23	1	87	14	0	0.0	0.0	0.0
23	2018-05-18 16:58:21.794635-04:00	3.0	0	True	3.0	0.0	2.0	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.23266877816394	1.8514123105145748	-0.8276934660532895	8	75.85	23	1	87	14	0	0.0	0.0	0.0
24	2018-05-19 15:46:35.727195-04:00	4.0	2	False	3.0	0.0	1.5	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.52197180964617	67.38364856272896	47.38423138580652	2	24.8	26	1	57	1	0	0.0	0.0	0.0
25	2018-05-20 00:59:20.862440-04:00	3.5	1	False	3.0	0.0	5.0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	0.0	0.793961	0.0	0.0	0.0	0.0	0.0	94.94899406794117	30.824770925290387	5.163292033933485	0	28.31	23	1	15	2	0	0.0	0.0	0.0
26	2018-05-20 23:38:36.117814-04:00	3.5	2	False	2.0	0.0	4.0	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	0.0	0.896183	0.650549	0.0	0.955374	0.0	0.0	94.1227737137034	38.43116231243822	30.863941318375147	0	64.77	26	1	15	4	0	36.05	841.2	1.2716649
27	2018-05-21 14:48:05.444145-04:00	3.5	5	True	3.0	0.0	2.5	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	0.531858	0.558911	0.526397	0.0	0.0	0.0	0.0	96.39178073956963	24.610620462892218	-6.303680979104049	17	59.79	21	1	21	2	0	0.0	0.0	0.0
28	2018-05-21 15:48:35.377086-04:00	3.0	0	True	3.0	0.0	2.5	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	0.0	0.0	0.648481	0.0	0.833936	0.691976	0.0	97.59915782323952	10.610483451222217	-1.167006243936351	1	53.78	20	1	37	5	0	0.0	0.0	0.0
29	2018-05-21 16:49:48.449736-04:00	3.0	1	True	3.0	0.0	2.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.922999	0.0	0.0	97.04678231563294	0.9197802794339697	-0.05954200856423264	3	24.33	20	1	50	5	0	0.0	0.0	0.0
30	2018-05-21 17:53:47.788487-04:00	3.0	3	True	3.0	0.0	2.0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	0.0	0.0	0.590591	0.0	0.601046	0.0	0.0	97.04678231563294	0.9197802794339697	-0.05954200856423264	3	23.1	19	1	33	2	0	59.22	1256.96	1.2655505
