index	time	mood	unique_interactions	alone	morale	stress	fatigue	compulsions	email_activity	just_woke_up_activity	getting_ready_activity	errands_activity	resting_activity	with_parents_activity	reading_activity	with_friends_activity	therapy_activity	commuting_activity	meditation_activity	schoolwork_activity	washing_up_activity	with_k_activity	eating_activity	trying_to_leave_apt_activity	work_activity	tv_activity	working_out_activity	feedly_activity	leisure_activity	cooking_activity	ash_stuff_activity	chatting_activity	in_class_activity	workshop_activity	shopping_activity	studying_activity	working_activity	friend_home_location	library_location	la_location	therapy_location	parents_home_location	airport_location	vacation_location	home_location	cafe_location	mountain_view_location	k_home_location	school_location	Sadness_score	Analytical_score	Joy_score	Fear_score	Tentative_score	Anger_score	Confident_score	word_count	uniqueword_ratio	backspace_count	avg_dwelltime	avg_flighttime	avg_attention	avg_engagement	avg_valence	blinks	productivity_score	current_tabCount	current_windowCount	tabs_activated	tabs_created	windows_created	phone_unlocks	phone_use_secs	walking_distance	walking_duration	avg_walking_speed	stepCount	time_of_day
getting_ready_activity	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
errands_activity	-0.045449901517630974	0.010076010839133256	0.07647482927467723	0.12524921782015067	0.006572960763471559	0.03122778946574399	-0.04258354153006615	-0.10034009278938352	-0.057302793079880246	0.0	0.0	1.0	0.1584434223960979	0.0	-0.017906561769993876	-0.021110470032392043	0.0905600966209806	0.0	0.06367352488815149	-0.210380743937615	-0.02535682705387406	-0.027589167524065247	0.0017890919891941622	0.0	-0.1893917712044878	-0.06625992659728079	0.07698762962699723	0.07946119507431536	-0.027725609684606134	-0.035954213213893325	-0.04010496753035354	0.022346480120212057	-0.06294058066909786	0.0	-0.01790656176999373	-0.0573027930798798	0.06572144939495997	0.07662391285398662	-0.04025102918165982	-0.07771543853960379	0.0	-0.02802070930674	-0.017906561769993824	-0.07579648267114994	0.06939768325533444	-0.044151078568834795	-0.03110479883999791	0.015476850074475626	-0.11443206017181826	-0.018572691593425956	0.09214824599551209	0.055355398190195325	0.01837659931959625	0.10821134528094502	0.005600909426340056	-0.00622469817058299	-0.04566019279492874	0.08907325111936486	-0.06345415630980128	-0.03057781112108484	-0.12355905819597135	0.023549037179253326	-0.01845042124188255	-0.007679735874525057	0.04710206025117374	-0.18195896872631234	-0.13300620877885044	-0.01786973471365033	0.0017140604807998076	-0.026231605573318866	-0.05580844535495731	0.03674960895308763	0.050132058179869224	-0.04700533272515457	-0.043002329867591435	-0.04574840983736322	0.0006963858388907599	-0.0846411758097704
resting_activity	-0.032437567515194055	0.03409571662972949	0.014917108664916585	-0.017077183985952	0.01134791738534779	-0.03426493305683751	0.009317107507231864	-0.10222996799607328	-0.01450983047553093	0.0	0.0	0.1584434223960979	1.0	0.0	-0.004534179953847023	-0.02765690486933825	-0.0064206863605442725	0.0	-0.007874015748031496	-0.08291779116802175	-0.006420686360544148	0.13477761608308553	-0.02854038109844782	0.0	-0.08600466657335068	-0.047312076370739316	-0.012091397103548568	0.069648345028766	-0.011340797474359019	-0.009104085692427781	-0.030679127750024054	-0.025831946697300236	-0.015937393387910583	0.0	-0.004534179953846962	-0.01450983047553107	-0.012943424970158419	-0.023416442673202226	-0.010192096728642689	-0.01967858420041179	0.0	-0.023913508573924144	-0.004534179953846999	-0.03232991384746814	0.004341420861004363	-0.011179641181758961	-0.02440315135529854	0.13477761608308553	-0.028975721859565488	0.0590497690031353	0.018965051685731885	0.008311326910671823	0.0789104672952123	0.03098059357978709	-0.03133821676127709	-0.027195657706222114	0.04259436382089224	-0.04885024638322642	0.019857290993653003	-0.009903773428505987	-0.09058221844447832	-0.13156427098882562	-0.0151942335999762	-0.008220462182058377	0.02878052040549559	-0.08103090787550132	-0.11042775018212381	0.027651890766181807	0.032045033444682236	-0.0117104516505044	0.024730023022270984	0.15279598926270038	0.18824079949479372	0.028411227836409845	0.023097142331846014	0.046691979794337805	-0.0220646877959915	0.07354976434738518
with_parents_activity	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
reading_activity	0.03136480512650832	-0.04020235158194207	-0.015312395843052655	0.029501220638256304	-0.11614152517800184	-0.039158740508924476	0.09024338431643526	0.04435274746462967	-0.008355353174435707	0.0	0.0	-0.017906561769993876	-0.004534179953847023	0.0	1.0	-0.01592597572278894	-0.0036972935180116296	0.0	-0.004534179953846956	-0.04774745168947688	-0.0036972935180116045	-0.010302273127970546	-0.016434717429170517	0.0	-0.049525000659501134	-0.02724422646839566	-0.006962720435836135	-0.0169337974960745	0.06312811354105585	-0.005242504481278365	-0.017666295127800234	-0.014875090250235515	-0.009177402221236806	0.0	-0.0026109660574412143	-0.008355353174435677	-0.00745335289029439	-0.01348414434982368	-0.00586902568568455	-0.011331732734202906	0.0	-0.013770375202658301	-0.0026109660574412234	-0.01861688520415245	0.03805506078425439	-0.0064376941270667485	-0.01405233152010792	-0.010302273127970553	-0.016685404424893885	-0.037560772344445166	-0.028667044314687692	0.02881687559708498	-0.014501687924190714	0.06408188417776607	-0.018045825506993483	-0.015660370762410798	-0.00794638826911827	0.012165188461936684	-0.027911083329538927	-0.0041202851984303785	0.0029654595714880233	-0.005692550505970349	0.029064845231660485	-0.002409885208788679	0.016572999452852677	0.027443170813757828	-0.020016177875513498	-0.02113428096374831	0.004773514447061333	-0.009297053609589045	-0.014240557580011033	-0.045734237663056766	-0.03656636986437725	-0.020881846336799428	-0.020936478685223307	-0.02280248235729753	-0.01605848665936504	0.07470747431596836
with_friends_activity	0.1250975498331563	0.38275823924498215	0.183182384257219	-0.4551602666614715	0.11988880897048389	-0.06110232948407805	-0.08909252497444428	-0.08130552530174867	-0.05096471914376269	0.0	0.0	-0.021110470032392043	-0.02765690486933825	0.0	-0.01592597572278894	1.0	-0.022552191607417563	0.0	-0.027656904869338708	0.03952784342675045	-0.02255219160741738	-0.06284024691090401	0.025552902682603743	0.0	0.028087609474492535	-0.055776748889949865	-0.04247014866764023	-0.011192438256929931	-0.06482743045069768	-0.03197743565355804	-0.018706946185409665	0.08005837494214016	0.049393173127872815	0.0	-0.01592597572278883	-0.05096471914376261	-0.04546283428155183	0.4379493038082861	0.045064617115305516	0.017618718729438883	0.0	-0.08399445122858343	-0.015925975722788904	-0.056555570108958134	-0.3419546177508453	0.03464794643376201	-0.08571428571428583	-0.062840246910904	0.36422219768672454	0.09837374411042644	-0.05872682062924251	0.08449409418129099	-0.08845520192110783	0.027083806052807614	0.09052599625613977	0.10640127851089894	0.08276533433798133	-0.08197411178115513	0.05279189979228487	-0.023941604079905407	-0.04338320497031861	-0.021088525355226713	0.12375881710285012	0.15437865451360147	0.0011506406874707542	0.02266635373369494	-0.047048524297063896	0.11042153576116957	0.1845424926286828	0.1384575681502057	0.09708150426872221	0.013482269060338264	-0.08037088642761767	0.00316299508514437	0.003864464296702777	-0.016921773095015323	0.19878077885646356	-0.05123230094945783
therapy_activity	0.03605502391293818	0.006619660391695214	0.029087385298388307	0.04177559931443568	0.025045869695590965	-0.014185206022487481	-0.0033292076503117288	-0.010277395060217756	-0.01183170996976257	0.0	0.0	0.0905600966209806	-0.0064206863605442725	0.0	-0.0036972935180116296	-0.022552191607417563	1.0	0.0	-0.006420686360544202	-0.06761341961146913	-0.005235602094240701	-0.014588672092566458	-0.023272602126729398	0.0	-0.07013054168055474	-0.03857955243721425	-0.009859653694760296	-0.023979331151824955	-0.05856809764491232	-0.007423718811485833	-0.02501659425144266	-0.021064071133859073	-0.012995783552244917	0.0	-0.0036972935180116006	-0.011831709969762582	-0.010554420364907072	-0.019094403528705586	-0.008310912569269864	-0.01604645218064148	0.0	0.12449824147475742	-0.003697293518011613	-0.02636269008350714	-0.021634020936425004	-0.009116183145740265	-0.019898992594780267	-0.014588672092566465	-0.02362759081059077	0.10938795880778078	-0.040594352738969906	-0.011409976593656817	-0.020535309759975553	0.08869560255765215	0.10593927350449424	-0.022176078139546602	-0.03827897401986627	0.058396587957126114	-0.04354460909637269	-0.0076012755411320986	-0.013833470202111809	-0.00039057301119611144	0.07154174457420291	0.07401612982277893	-0.02944184374472654	-0.001667155792316149	0.017932030502353372	0.04878589552011576	0.02505423577002716	0.008531964993243994	0.16132426105928038	0.00286476971248223	-0.014740055769373574	-0.029570018685278	-0.029647381555287556	-0.03228976109204294	0.11690966212651885	-0.02402160711149916
commuting_activity	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
meditation_activity	0.015440624925125037	-0.06981503881325525	0.2017052519473424	0.051231551957855996	-0.00801919495231244	0.10068618790547637	-0.004082777446989244	0.01727172975276124	-0.014509830475531178	0.0	0.0	0.06367352488815149	-0.007874015748031496	0.0	-0.004534179953846956	-0.027656904869338708	-0.006420686360544202	0.0	1.0	-0.023624622064631607	-0.006420686360544164	-0.017890833993329937	-0.02854038109844782	0.0	0.03236734763513197	-0.04731207637073843	0.43010826839765737	-0.029407079012145464	-0.0718250506709364	-0.009104085692427762	0.06509961254273393	-0.025831946697300236	-0.015937393387910583	0.0	-0.004534179953846959	-0.014509830475531131	0.4012461740749104	-0.02341644267320244	-0.010192096728642698	-0.01967858420041179	0.0	0.3292706180563339	-0.004534179953846937	-0.03232991384746814	-0.11914788362979188	-0.011179641181758961	-0.02440315135529854	-0.017890833993329937	-0.028975721859565297	0.046353005326684814	0.013502875285306474	0.07481051648967443	-0.025183499607516185	0.02727121015256733	-0.031338216761277266	-0.027195657706222034	0.11646719224289909	-0.0499261351177873	0.04122428642035593	-0.006934019450013295	-0.04808444583838361	-0.02636262639006082	0.04526047501742119	0.06505175265289036	-0.006612147439952686	0.07809581667749164	-0.0725938314901756	-0.03670160047147758	0.033804692080855264	0.006028457358543714	-0.024730023022270953	0.07170411105618604	0.036424694795945116	-0.03626322478983859	-0.036358098830176336	-0.03959858386812234	0.11687894821364411	0.01736320696795052
schoolwork_activity	0.23933567702332464	0.09924176744640975	-0.07856182768615176	-0.15973930708474599	0.3815541174785594	0.001395556613746032	-0.09029279739484997	0.020184586808033096	0.04387568116279342	0.0	0.0	-0.210380743937615	-0.08291779116802175	0.0	-0.04774745168947688	0.03952784342675045	-0.06761341961146913	0.0	-0.023624622064631607	1.0	-0.0676134196114687	0.10798821467174438	-0.049811191958207796	0.0	0.9641080475244119	-0.35990568341867074	-0.08830730588187546	-0.09988570276386455	-0.3934128919768075	-0.044454204570057415	-0.22164454160770414	-0.15531251277218563	-0.10782353036381867	0.0	-0.047747451689476667	-0.054460475840198336	-0.09975138185317513	-0.013830982978247579	0.12291809254771159	0.16323428320358946	0.0	0.08062219817715263	-0.04774745168947679	0.16268157152272708	-0.18675820218552852	0.13482801488410465	0.06970810160407609	0.1349326425040703	0.048697418772571256	-0.0052426031338689465	0.1501680983662326	-0.07598467479985985	-0.06372271036015972	-0.1936966421220935	0.018647647574564608	-0.017714223859201864	0.027607716475097997	-0.07916312713123073	0.20525444625312111	-0.0340245289730054	0.24384536692503941	0.04088644769294688	-0.05735283209758724	-0.12413768222598073	0.02406707370716571	0.3032032824208264	0.341752644474348	0.04510559345990375	0.06648692318166498	0.08513729249360451	0.027642450214511286	-0.08498024273575326	-0.08814843455269548	-0.11200543908233722	-0.11669470892712386	-0.1351717887698746	-0.04184128400876461	-0.01658464565701907
