	time	mood	social	alone	morale	stress	fatigue	compulsions	ash_stuff_activity	getting_ready_activity	errands_activity	leisure_activity	studying_activity	chatting_activity	workshop_activity	in_class_activity	tv_activity	meditation_activity	with_k_activity	eating_activity	working_out_activity	reading_activity	cooking_activity	feedly_activity	with_friends_activity	therapy_activity	commuting_activity	school_work_activity	with_parents_activity	trying_to_leave_apt_activity	working_activity	schoolwork_activity	shopping_activity	work_activity	email_activity	washing_up_activity	resting_activity	just_woke_up_activity	errandss_activity	mountain_view_location	parents_home_location	vacation_location	la_location	school_location	therapy_location	airport_location	home_location	cafe_location	library_location	michelle_home_location	k_home_location	Sadness_score	Analytical_score	Joy_score	Fear_score	Tentative_score	Anger_score	Confident_score	avg_attention	avg_engagement	avg_valence	blinks	productivity_score	heart_rate	spo2	current_tabCount	current_windowCount	tabs_activated	tabs_created	windows_created	calorie	distance	mean_speed
28	2018-06-02 21:25:25.471260-04:00	3.0	0	True	2.5	0.0	1.5	True	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0.890603	97.9674635164748	1.1612487134766816	0.322936151915372	0	22.86	78.0	90.0	23	2	0	0	0	0.0	0.0	0.0
29	2018-06-02 22:25:59.244113-04:00	2.5	0	True	2.0	0.0	2.0	True	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	0.0	0.0	0.0	0.0	0.71572	0.0	0.0	97.9674635164748	1.1612487134766816	0.322936151915372	0	42.77	78.0	90.0	22	2	0	0	0	0.0	0.0	0.0
30	2018-06-02 23:26:34.387373-04:00	3.0	0	True	3.0	0.0	2.5	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	0.0	0.0	0.0	0.0	0.71572	0.0	0.0	95.6890163898468	27.67930502272211	-4.4464634643867615	4	44.82	76.0	91.0	22	2	3	0	0	0.0	0.0	0.0
31	2018-06-03 00:28:02.113987-04:00	2.5	1	True	2.0	0.0	3.0	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	0.0	0.0	0.0	0.0	0.71572	0.0	0.0	95.6890163898468	27.67930502272211	-4.4464634643867615	4	22.86	76.0	91.0	22	2	40	8	0	0.0	0.0	0.0
32	2018-06-03 17:06:07.752847-04:00	3.5	0	True	4.0	0.5	2.0	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	0.0	0.857009	0.63678	0.0	0.0	0.0	0.981685	98.41620632033273	4.929042768225537	-1.4294155624169143	14	64.99	74.0	87.0	21	2	49	6	0	0.0	0.0	0.0
33	2018-06-03 21:33:15.274811-04:00	2.0	2	True	2.0	3.0	4.0	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	0.0	0.731297	0.618009	0.0	0.0	0.0	0.0	97.97000848617424	0.37939354390210556	-0.021560562530205645	3	51.55	74.0	93.0	23	2	2	1	0	0.0	0.0	0.0
34	2018-06-03 22:34:50.265445-04:00	2.5	1	True	2.0	0.0	4.5	True	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	0.0	0.0	0.655934	0.0	0.0	0.0	0.726613	89.03148738593812	44.90669061381156	35.25962912201122	0	13.78	74.0	93.0	23	2	2	1	0	0.0	0.0	0.0
35	2018-06-03 23:36:03.059630-04:00	2.5	0	True	1.5	0.5	4.5	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	0.0	0.0	0.655934	0.0	0.0	0.0	0.726613	89.03148738593812	44.90669061381156	35.25962912201122	0	13.37	74.0	93.0	22	0	0	0	0	63.45	1493.02	1.3423458000000001
36	2018-06-04 01:08:00.813776-04:00	2.0	0	True	1.0	2.5	4.5	True	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	0.0	0.0	0.655934	0.0	0.0	0.0	0.726613	89.03148738593812	44.90669061381156	35.25962912201122	0	98.82	74.0	93.0	21	2	0	0	0	55.68	1290.23	1.4155128000000001
37	2018-06-04 16:12:55.318465-04:00	3.5	2	True	3.0	1.0	2.0	False	False	False	True	True	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	0.548042	0.0	0.592438	0.0	0.822511	0.0	0.0	96.93323567834231	8.62446761806265	5.647518040243499	27	40.52	74.0	92.0	21	2	0	0	0	0.0	0.0	0.0
