distance	duration	create_time	mean_speed	calorie
1725.2	1266355	1508645086.692	1.3623352	72.75
1325.49	1052830	1521762377.801	1.2589781	57.01
1464.83	1058716	1521224183.083	1.383591	68.29
1252.61	981190	1520981496.231	1.2766232	53.6
3048.75	2504358	1523680377.217	1.2173778	132.23
1175.51	1044616	1513046531.502	1.1253035	49.72
969.2	758667	1507160918.482	1.2775038	41.21
863.27997	693382	1501642795.027	1.245028	36.05
975.54	745821	1524883145.688	1.3080082	42.39
1118.51	861511	1509769890.465	1.298312	48.67
876.38	709757	1495932402.534	1.2347608	36.71
978.83997	742940	1503972102.32	1.3175223	42.42
989.18	754084	1508224128.935	1.3117636	43.75
979.06	789351	1495564334.254	1.2403355	42.89
799.79	660454	1506030894.395	1.21097	34.05
1136.16	1208483	1496168058.49	0.9401539	57.18
938.79	700473	1505935911.822	1.340223	41.3
1509.46	1130175	1513856081.987	1.3355986	64.23
958.82	767606	1499400829.271	1.2491043	41.61
2802.67	2295831	1504500688.164	1.220765	119.24
1369.22	1141316	1512516217.135	1.1996853	62.86
961.89996	770313	1513037578.883	1.2487133	40.72
1016.04	788091	1502237020.212	1.2892419	44.12
1208.04	934476	1534650003.748	1.292746	55.03
890.05	784767	1532063378.091	1.1341583	38.22
995.93	723433	1508257160.098	1.3766721	42.68
1016.21	744152	1509067198.939	1.3655946	43.95
1101.55	961555	1516763231.349	1.1455923	49.19
1082.22	876375	1527286019.693	1.2348822	50.59
1451.2001	1082788	1510180517.489	1.340244	62.25
1702.36	1400259	1533156463.093	1.2157465	74.66
1101.35	762971	1492191718.216	1.4435017	47.579998
1664.39	1379884	1528607731.343	1.206181	73.73
2422.16	1867163	1520999775.026	1.2972409	105.75
851.23	671820	1508824305.365	1.2670506	37.6
1254.46	1094656	1520398199.369	1.1459855	54.809998
1138.88	903256	1505084290.982	1.2608607	50.79
855.79	691432	1528416931.549	1.2377065	38.35
899.07	682072	1536557380.89	1.3181454	38.3
813.76	664320	1507146683.589	1.2249519	36.72
2845.69	2203975	1524796702.932	1.2911625	121.32
733.11	634449	1493070915.119	1.1555066	31.36
1053.9	917698	1502334899.065	1.148417	46.62
1480.01	1154149	1529010909.119	1.2823387	63.72
982.68	758000	1492019355.195	1.2964116	42.42
1613.56	1528933	1518639293.911	1.0553503	69.16
1629.36	1247164	1519439754.197	1.306452	70.11
1275.41	1023824	1527410234.141	1.2457316	57.5
1004.69	680000	1509131709.869	1.4774853	45.72
896.07	694039	1494214495.144	1.2910945	41.2
714.54	700832	1502058215.868	1.0195596	34.46
1912.16	1586304	1509250024.704	1.2054185	82.229996
922.75	667136	1492241026.637	1.3831512	39.65
1878.46	1620442	1520968602.068	1.1592269	85.0
1583.42	1298828	1497117302.565	1.2191144	67.57
1415.47	1206737	1517456846.197	1.172973	62.12
827.57	695848	1523022422.353	1.189297	35.18
967.9	762793	1531332399.358	1.2688895	43.44
852.09	723806	1518917696.006	1.1772354	38.08
820.99	687035	1499488282.752	1.1949755	37.23
702.67	663074	1534396500.619	1.0597159	30.53
1571.17	1364628	1529320556.44	1.1513541	67.88
1000.37	1016736	1528087626.396	0.9839034	42.73
825.48	687723	1510297837.587	1.2003088	36.28
1335.5	1097195	1536721789.22	1.2171948	57.04
834.12	685082	1509602420.166	1.2175477	35.28
1093.6	807554	1507267521.64	1.3542129	50.11
1138.71	964879	1525569726.897	1.1801583	49.07
1687.12	1491078	1531599294.402	1.1314768	73.51
2148.09	1731631	1525565699.924	1.240501	97.82
866.86	669421	1507690274.083	1.2949399	36.77
917.86	731739	1495161676.269	1.2543544	40.3
