com.samsung.shealth.calories_burned,6000085,1
tef_calorie,active_time,pkg_name,update_time,create_time,datauuid,rest_calorie,active_calorie,day_time,deviceuuid
0.0,3935533,com.sec.android.app.shealth,2017-11-09 05:00:04.653,2017-11-08 05:00:01.273,27d27973-af3f-4cc0-88ce-f5916e52cbf2,1309.2119,215.20517,1510099200000,avnWu77KPA
0.0,3684558,com.sec.android.app.shealth,2018-02-14 05:00:07.484,2018-02-13 05:33:37.781,284014f8-b2a9-4108-96b4-cb3ca63df5ca,1309.051,205.3235,1518480000000,avnWu77KPA
0.0,5453707,com.sec.android.app.shealth,2017-10-30 04:00:03.691,2017-10-29 04:00:03.595,2845e256-46af-4f11-9bfe-4f05c826139d,1285.1094,299.606,1509235200000,avnWu77KPA
0.0,3314179,com.sec.android.app.shealth,2018-08-01 04:00:01.283,2018-07-31 04:00:00.838,287fc697-88f3-46dd-92db-bc877ab4fb60,1314.9128,179.16199,1532995200000,dgrrqaEJmv
0.0,8736463,com.sec.android.app.shealth,2018-03-14 04:00:02.335,2018-03-13 04:00:01.588,28d0bc76-9498-4a0d-aace-f40fbf723387,1229.0999,469.8588,1520899200000,avnWu77KPA
0.0,2239881,com.sec.android.app.shealth,2018-04-03 18:30:32.726,2018-04-02 18:30:02.629,2934a100-8692-4b30-b573-506ed3f51e6f,1331.9146,108.91998,1522713600000,avnWu77KPA
0.0,3604912,com.sec.android.app.shealth,2018-08-30 04:00:00.929,2018-08-29 04:00:01.608,2a08d6db-9e27-4349-bfc5-40452facbd23,1310.3116,198.23,1535500800000,dgrrqaEJmv
0.0,5550365,com.sec.android.app.shealth,2018-09-12 06:48:16.023,2018-08-20 04:00:00.668,2b0c9c37-74f4-4260-a74f-a3a26b476823,1279.523,329.16397,1534723200000,dgrrqaEJmv
0.0,3062348,com.sec.android.app.shealth,2018-03-09 05:13:15.357,2018-03-08 07:49:49.789,2b1485e7-fb17-4a74-824d-c40c707e7f5e,1318.8981,172.911,1520467200000,avnWu77KPA
0.0,8390423,com.sec.android.app.shealth,2018-09-12 06:48:15.884,2018-08-18 06:00:00.695,2b8571f7-182c-499c-9a57-82fe7d85e37c,1234.5764,454.73114,1534550400000,dgrrqaEJmv
0.0,4979904,com.sec.android.app.shealth,2018-06-05 04:02:31.041,2018-06-04 04:01:06.318,2b8fa104-5bc6-497d-8dd9-9a41ebf15e45,1288.551,280.526,1528070400000,avnWu77KPA
0.0,2655612,com.sec.android.app.shealth,2018-07-22 04:00:00.858,2018-07-21 04:00:00.470,2bcc9891-6e77-4ab9-b284-3a1a2393e11d,1325.3352,136.08003,1532131200000,dgrrqaEJmv
0.0,12555686,com.sec.android.app.shealth,2017-10-27 05:16:21.749,2017-10-27 05:16:21.749,2bf0bdea-6148-4fed-a643-8b2dcbff31ce,1172.3577,659.43713,1508457600000,avnWu77KPA
0.0,3278542,com.sec.android.app.shealth,2018-06-06 04:00:17.284,2018-06-05 04:00:43.294,2bf8c842-aabc-429f-b937-b685686f6af9,1315.4767,182.98767,1528156800000,avnWu77KPA
0.0,8068278,com.sec.android.app.shealth,2018-06-11 04:00:49.793,2018-06-10 04:18:55.922,2d27b996-58df-4534-88d2-d8a4ee88630f,1239.6744,443.31534,1528588800000,avnWu77KPA
0.0,7079121,com.sec.android.app.shealth,2018-04-07 20:00:00.863,2018-04-06 18:31:14.359,2d35d922-8edc-4ffd-8ede-741bbd24a141,1255.3289,355.79462,1523059200000,avnWu77KPA
0.0,3189135,com.sec.android.app.shealth,2018-03-25 04:00:02.289,2018-03-24 04:01:25.516,2f5e4576-4ad9-4491-ac9b-19a2d45fdfcd,1316.8916,168.24998,1521849600000,avnWu77KPA
0.0,4430857,com.sec.android.app.shealth,2017-10-27 05:16:20.976,2017-10-27 05:16:20.976,310613f2-7ba1-4805-8202-64aa6e66a9cb,1301.3481,238.20164,1507680000000,avnWu77KPA
0.0,6046274,com.sec.android.app.shealth,2018-03-28 15:03:42.942,2018-03-27 04:01:18.662,31092d31-60b0-44aa-9831-aca4a9dc9ede,1271.6747,345.3697,1522108800000,avnWu77KPA
0.0,4342285,com.sec.android.app.shealth,2018-01-03 02:58:55.387,2017-12-10 05:00:01.941,314662e1-578d-40a9-a0ca-611e72e97401,1298.6418,229.52356,1512864000000,avnWu77KPA
0.0,7183921,com.sec.android.app.shealth,2017-10-27 05:16:22.071,2017-10-27 05:16:22.071,31b2cffd-1da6-462c-a1cd-a6955b2238c0,1257.6403,392.18585,1508716800000,avnWu77KPA
0.0,781556,com.sec.android.app.shealth,2018-05-15 05:00:01.645,2018-05-14 05:00:01.000,3217e707-95a6-48c3-ab0b-09722eb10c35,1354.994,39.199997,1526256000000,avnWu77KPA
0.0,7183438,com.sec.android.app.shealth,2017-12-31 16:00:07.750,2017-12-30 16:01:18.943,32abf075-b118-4369-8fa2-3a1e7e15c317,1253.678,368.26614,1514678400000,avnWu77KPA
0.0,3973869,com.sec.android.app.shealth,2018-07-10 04:01:02.042,2018-07-09 04:00:00.955,336715c1-5996-4409-b010-b3f4adef1ae1,1304.4725,221.7991,1531094400000,avnWu77KPA
0.0,3915928,com.sec.android.app.shealth,2018-09-12 06:48:16.145,2018-08-21 04:00:01.862,34846175-8f1f-4a5a-b246-5cd32847a828,1305.3895,214.50266,1534809600000,dgrrqaEJmv
0.0,4592161,com.sec.android.app.shealth,2018-03-15 04:00:00.903,2018-03-14 04:00:02.046,3497497c-5ddd-4c33-afd9-30b0b518be44,1294.6875,256.0248,1520985600000,avnWu77KPA
0.0,3460710,com.sec.android.app.shealth,2018-07-18 04:03:54.877,2018-07-17 04:13:09.491,356c3b73-adec-4344-bf7c-ac44b020fe29,1312.5936,189.5733,1531785600000,avnWu77KPA
0.0,3763896,com.sec.android.app.shealth,2018-06-03 04:00:20.922,2018-06-02 04:00:24.825,35fe9a20-dc43-455a-8eac-76bb521952e0,1307.7955,215.61801,1527897600000,avnWu77KPA
0.0,527417,com.sec.android.app.shealth,2018-04-16 04:00:23.089,2018-04-15 04:12:42.517,360c6073-b10b-43b0-bbc9-35abd1741eec,1359.016,30.040005,1523750400000,avnWu77KPA
0.0,4171318,com.sec.android.app.shealth,2018-02-23 05:19:52.909,2018-02-22 05:01:34.093,36d1e77b-729e-4873-b83b-685b014cb4bc,1301.3477,226.515,1519257600000,avnWu77KPA
0.0,6728746,com.sec.android.app.shealth,2017-11-16 05:00:52.178,2017-11-15 05:00:04.018,36eb4284-70ac-4839-9a3d-4c6f00cccd5e,1264.8667,377.57797,1510704000000,avnWu77KPA
0.0,5872452,com.sec.android.app.shealth,2018-08-02 04:00:01.358,2018-08-01 04:00:00.737,393ec3cb-48e3-41cc-bbec-eb872b92b70e,1274.4257,314.84952,1533081600000,dgrrqaEJmv
0.0,8748538,com.sec.android.app.shealth,2018-09-12 06:48:15.682,2018-08-16 06:00:01.705,3a583d2b-f752-4059-8f1b-672f1ef7de66,1228.9089,477.55502,1534377600000,dgrrqaEJmv
0.0,7810104,com.sec.android.app.shealth,2017-10-27 05:16:20.285,2017-10-27 05:16:20.285,3bf23fe8-5204-447f-b7d4-7b1cc07b10aa,1247.699,415.62463,1507075200000,avnWu77KPA
0.0,6138088,com.sec.android.app.shealth,2017-11-03 15:18:05.972,2017-10-31 04:00:03.323,3c382792-4c59-479f-98cb-339ac4735bfe,1274.244,326.28415,1509408000000,avnWu77KPA
0.0,25346,com.sec.android.app.shealth,2018-09-12 06:48:16.430,2018-08-27 04:00:01.306,3c76318a-5fbe-434e-abdb-938bcc4f6cb0,1366.9618,1.09,1535328000000,dgrrqaEJmv
0.0,1631679,com.sec.android.app.shealth,2018-01-12 05:00:32.997,2018-01-11 05:37:57.623,3ca06eab-643b-4c9a-bcd2-f61cb94bfb88,1341.5399,91.200005,1515628800000,avnWu77KPA
0.0,2814888,com.sec.android.app.shealth,2018-05-07 04:00:02.005,2018-05-06 04:00:02.897,3ccb72fc-ab22-4e2f-97b2-7b5988dda93c,1322.8145,159.68832,1525564800000,avnWu77KPA
0.0,4302493,com.sec.android.app.shealth,2018-01-13 05:52:40.877,2018-01-12 05:00:32.636,3d77e021-542a-4817-89b3-b5462c46521e,1299.2716,240.82433,1515715200000,avnWu77KPA
0.0,2973399,com.sec.android.app.shealth,2018-02-12 05:00:02.305,2018-02-11 05:05:50.205,3daf6355-abb7-4c18-b44e-ededcbd99639,1320.3059,155.92001,1518307200000,avnWu77KPA
0.0,2662415,com.sec.android.app.shealth,2017-10-27 05:16:21.370,2017-10-27 05:16:21.370,3f0896af-f20d-4e03-93e5-f53fc9962b43,1329.4241,144.932,1508025600000,avnWu77KPA
0.0,7231425,com.sec.android.app.shealth,2018-01-03 02:59:00.074,2017-12-26 17:00:28.251,3f46b137-d0d8-4813-b7a8-9fe33fc82095,1252.9186,371.57385,1514332800000,avnWu77KPA
0.0,6437696,com.sec.android.app.shealth,2018-09-11 04:00:03.333,2018-09-10 04:00:00.405,3fd124c3-abbc-44ea-8110-35acd6b9af0a,1265.4801,359.51666,1536537600000,dgrrqaEJmv
