com.samsung.health.heart_rate,6000085,7
create_time,time_offset,max,heart_beat_count,custom,end_time,heart_rate,deviceuuid,start_time,pkg_name,update_time,min,binning_data,datauuid,comment
2018-06-18 18:13:51.930,UTC-0600,73.0,0,,2018-06-18 18:13:43.133,73.0,avnWu77KPA,2018-06-18 18:13:43.133,com.sec.android.app.shealth,2018-06-18 18:13:51.930,73.0,,111ca2b9-a48e-4fec-a361-6ba22c881aaf,
2018-08-29 07:41:07.815,UTC-0300,97.0,0,,2018-08-29 07:40:56.238,97.0,dgrrqaEJmv,2018-08-29 07:40:56.238,com.sec.android.app.shealth,2018-08-29 07:41:07.815,97.0,,11291b9b-0012-4b67-86d8-e20a6e8b3fbf,
2018-06-05 00:48:09.538,UTC-0300,87.0,0,,2018-06-05 00:47:57.869,87.0,avnWu77KPA,2018-06-05 00:47:57.869,com.sec.android.app.shealth,2018-06-05 00:48:09.538,87.0,,11813c70-dd38-42ed-a427-3de68df84f1b,
2018-08-08 03:39:27.046,UTC-0400,60.0,0,,2018-08-08 03:39:07.424,60.0,dgrrqaEJmv,2018-08-08 03:39:07.424,com.sec.android.app.shealth,2018-08-08 03:39:27.046,60.0,,11d11736-6e59-4f1b-bebd-71e3297b0d70,
2018-06-02 20:39:50.374,UTC-0300,78.0,0,,2018-06-02 20:39:45.018,78.0,avnWu77KPA,2018-06-02 20:39:45.018,com.sec.android.app.shealth,2018-06-02 20:39:50.374,78.0,,12aa581a-c2b8-49f4-a5b6-33653127d054,
2018-08-07 06:38:14.529,UTC-0400,65.0,0,,2018-08-07 06:38:05.038,65.0,dgrrqaEJmv,2018-08-07 06:38:05.038,com.sec.android.app.shealth,2018-08-07 06:38:14.529,65.0,,12d758d8-583f-4feb-b7c4-e142e3c11417,
2018-06-27 17:32:29.027,UTC-0600,73.0,0,,2018-06-27 17:32:15.946,73.0,avnWu77KPA,2018-06-27 17:32:15.946,com.sec.android.app.shealth,2018-06-27 17:32:29.027,73.0,,1328e321-d94b-43aa-b1ed-87c123917ab8,
2018-06-13 16:27:00.457,UTC-0300,64.0,0,,2018-06-13 16:26:46.491,64.0,avnWu77KPA,2018-06-13 16:26:46.491,com.sec.android.app.shealth,2018-06-13 16:27:00.457,64.0,,13e90e47-662e-4a32-9622-e99404ab0e9b,
2018-09-08 22:21:11.109,UTC-0300,93.0,0,,2018-09-08 22:21:02.804,93.0,dgrrqaEJmv,2018-09-08 22:21:02.804,com.sec.android.app.shealth,2018-09-08 22:21:11.109,93.0,,14eda408-428f-420a-9e8e-4597505c8405,
2018-06-03 01:31:24.512,UTC-0300,77.0,0,,2018-06-03 01:31:09.015,77.0,avnWu77KPA,2018-06-03 01:31:09.015,com.sec.android.app.shealth,2018-06-03 01:31:24.512,77.0,,1531e5a0-7c27-4fbc-b517-32e3efd4eef3,
2018-08-21 20:42:20.615,UTC-0300,79.0,0,,2018-08-21 20:42:11.803,79.0,dgrrqaEJmv,2018-08-21 20:42:11.803,com.sec.android.app.shealth,2018-08-21 20:42:20.615,79.0,,15421de2-ec28-4c60-8907-f81aae7ef60b,
2018-08-07 21:48:49.708,UTC-0400,66.0,0,,2018-08-07 21:48:46.865,66.0,dgrrqaEJmv,2018-08-07 21:48:46.865,com.sec.android.app.shealth,2018-08-07 21:48:49.708,66.0,,1543180b-6a94-42b7-b723-37893f1449db,
2018-08-05 04:38:30.548,UTC-0300,82.0,0,,2018-08-05 04:38:23.024,82.0,dgrrqaEJmv,2018-08-05 04:38:23.024,com.sec.android.app.shealth,2018-08-05 04:38:30.548,82.0,,15e93a66-4e04-40d5-8a7d-8e79b1c515f0,
2018-08-20 02:56:33.642,UTC-0300,78.0,0,,2018-08-20 02:56:26.901,78.0,dgrrqaEJmv,2018-08-20 02:56:26.901,com.sec.android.app.shealth,2018-08-20 02:56:33.642,78.0,,16b1f422-0a0e-4557-8368-5eab90f03207,
2018-06-21 02:36:40.164,UTC-0600,67.0,0,,2018-06-21 02:36:28.030,67.0,avnWu77KPA,2018-06-21 02:36:28.030,com.sec.android.app.shealth,2018-06-21 02:36:40.164,67.0,,16ed48f0-b50a-41fe-8024-4840ecea5976,
2018-08-30 14:57:04.333,UTC-0300,85.0,0,,2018-08-30 14:56:57.030,85.0,dgrrqaEJmv,2018-08-30 14:56:57.030,com.sec.android.app.shealth,2018-08-30 14:57:04.333,85.0,,16f6b5c7-313e-4b17-8bb6-2228f13e8b89,
2018-09-09 00:40:27.429,UTC-0300,77.0,0,,2018-09-09 00:40:20.033,77.0,dgrrqaEJmv,2018-09-09 00:40:20.033,com.sec.android.app.shealth,2018-09-09 00:40:27.429,77.0,,17498209-828e-48b6-8b9f-30c1c8df8389,
2018-06-09 14:11:27.683,UTC-0300,73.0,0,,2018-06-09 14:11:10.467,73.0,avnWu77KPA,2018-06-09 14:11:10.467,com.sec.android.app.shealth,2018-06-09 14:11:27.683,73.0,,17d7a739-a7b2-4b1d-b00e-902fd9121d92,
2018-06-22 20:03:39.619,UTC-0600,79.0,0,,2018-06-22 20:03:16.939,79.0,avnWu77KPA,2018-06-22 20:03:16.939,com.sec.android.app.shealth,2018-06-22 20:03:39.619,79.0,,18076109-48f7-4403-b4ba-2b76d888942c,
2018-08-14 19:18:14.692,UTC-0500,78.0,0,,2018-08-14 19:18:06.443,78.0,dgrrqaEJmv,2018-08-14 19:18:06.443,com.sec.android.app.shealth,2018-08-14 19:18:14.692,78.0,,184cbc8b-2a85-450e-8dc0-51ce5416671f,
2018-06-15 16:33:04.165,UTC-0300,82.0,0,,2018-06-15 16:32:54.702,82.0,avnWu77KPA,2018-06-15 16:32:54.702,com.sec.android.app.shealth,2018-06-15 16:33:04.165,82.0,,18dfc29b-ed5b-41e3-a329-ecbc462dbeb6,
2018-06-11 23:16:18.321,UTC-0300,71.0,0,,2018-06-11 23:16:05.628,71.0,avnWu77KPA,2018-06-11 23:16:05.628,com.sec.android.app.shealth,2018-06-11 23:16:18.321,71.0,,18e70ae4-b89e-43bb-8961-f1db5e574080,
2018-06-05 16:11:18.613,UTC-0300,91.0,0,,2018-06-05 16:11:03.672,91.0,avnWu77KPA,2018-06-05 16:11:03.672,com.sec.android.app.shealth,2018-06-05 16:11:18.613,91.0,,18fdf3bc-003f-4637-bcb8-9ef173ee404b,
2018-08-05 20:44:18.040,UTC-0300,70.0,0,,2018-08-05 20:44:09.737,70.0,dgrrqaEJmv,2018-08-05 20:44:09.737,com.sec.android.app.shealth,2018-08-05 20:44:18.040,70.0,,194d5149-81f9-4f3a-895a-9afcec580413,
2018-09-02 00:24:53.576,UTC-0300,89.0,0,,2018-09-02 00:24:50.794,89.0,dgrrqaEJmv,2018-09-02 00:24:50.794,com.sec.android.app.shealth,2018-09-02 00:24:53.576,89.0,,19ae0b04-c4ea-44c4-b3fd-38c334a2e549,
2018-08-10 05:03:26.302,UTC-0400,63.0,0,,2018-08-10 05:03:17.881,63.0,dgrrqaEJmv,2018-08-10 05:03:17.881,com.sec.android.app.shealth,2018-08-10 05:03:26.302,63.0,,1a084134-035f-4a9d-9290-158b36a63273,
2018-06-04 19:13:27.768,UTC-0300,78.0,0,,2018-06-04 19:13:15.101,78.0,avnWu77KPA,2018-06-04 19:13:15.101,com.sec.android.app.shealth,2018-06-04 19:13:27.768,78.0,,1a73f2b7-21fb-49bc-8cc3-eef68c1928db,
2018-08-24 15:17:17.805,UTC-0300,70.0,0,,2018-08-24 15:17:08.166,70.0,dgrrqaEJmv,2018-08-24 15:17:08.166,com.sec.android.app.shealth,2018-08-24 15:17:17.805,70.0,,1acc4448-2a7e-432f-ae9b-a3c430c5ac80,
2018-08-07 02:26:21.175,UTC-0400,62.0,0,,2018-08-07 02:26:14.216,62.0,dgrrqaEJmv,2018-08-07 02:26:14.216,com.sec.android.app.shealth,2018-08-07 02:26:21.175,62.0,,1b0c25b1-b8f3-4659-8745-5b4fdd902bfd,
2018-05-21 18:54:59.270,UTC-0300,81.0,0,,2018-05-21 18:54:40.354,81.0,avnWu77KPA,2018-05-21 18:54:40.354,com.sec.android.app.shealth,2018-05-21 18:54:59.270,81.0,,1b859c1c-ede1-477d-882c-cd617b63bf55,
2018-08-15 03:42:19.568,UTC-0500,72.0,0,,2018-08-15 03:42:11.144,72.0,dgrrqaEJmv,2018-08-15 03:42:11.144,com.sec.android.app.shealth,2018-08-15 03:42:19.568,72.0,,1bddd605-aa78-4efb-92e6-9b65eff08488,
2018-09-12 01:06:04.438,UTC-0300,74.0,0,,2018-09-12 01:05:55.712,74.0,dgrrqaEJmv,2018-09-12 01:05:55.712,com.sec.android.app.shealth,2018-09-12 01:06:04.438,74.0,,1c5f2c57-2d51-45f1-a473-93163b645fca,
2018-06-06 00:38:29.330,UTC-0300,75.0,0,,2018-06-06 00:38:18.828,75.0,avnWu77KPA,2018-06-06 00:38:18.828,com.sec.android.app.shealth,2018-06-06 00:38:29.330,75.0,,1c6693e0-1161-46bb-9ccf-8c404cb74830,
2018-06-21 05:26:40.204,UTC-0600,76.0,0,,2018-06-21 05:26:30.420,76.0,avnWu77KPA,2018-06-21 05:26:30.420,com.sec.android.app.shealth,2018-06-21 05:26:40.204,76.0,,1cb56651-ac5b-42fa-9fc3-aaa81a6faba6,
2018-06-03 16:16:20.617,UTC-0300,74.0,0,,2018-06-03 16:15:59.868,74.0,avnWu77KPA,2018-06-03 16:15:59.868,com.sec.android.app.shealth,2018-06-03 16:16:20.617,74.0,,1e2a80bc-2b52-4887-b241-0c2016e59f76,
2018-08-27 02:22:14.191,UTC-0300,120.0,0,,2018-08-27 02:22:08.384,120.0,dgrrqaEJmv,2018-08-27 02:22:08.384,com.sec.android.app.shealth,2018-08-27 02:22:14.191,120.0,,1e951adc-0692-4bce-a120-c7c8c3dc7c38,
2018-08-23 20:13:06.880,UTC-0300,66.0,0,,2018-08-23 20:13:04.223,66.0,dgrrqaEJmv,2018-08-23 20:13:04.223,com.sec.android.app.shealth,2018-08-23 20:13:06.880,66.0,,1f805732-6d84-41bb-804f-b5ecfcb44f73,
2018-06-18 21:21:41.173,UTC-0600,72.0,0,,2018-06-18 21:21:21.004,72.0,avnWu77KPA,2018-06-18 21:21:21.004,com.sec.android.app.shealth,2018-06-18 21:21:41.173,72.0,,1f918ebc-9f25-490e-b3a8-bdea8da9c38e,
