max_rpm,live_data,mean_rpm,distance,max_caloricburn_rate,additional,altitude_gain,deviceuuid,duration,update_time,datauuid,location_data,decline_distance,altitude_loss,mean_caloricburn_rate,incline_distance,max_altitude,max_cadence,create_time,time_offset,mean_speed,mean_heart_rate,custom,count_type,min_altitude,count,end_time,max_speed,exercise_type,start_time,max_power,pkg_name,mean_power,min_heart_rate,calorie,comment,max_heart_rate,mean_cadence,exercise_custom_type
,5568237d-0806-4476-888e-46b60257e1c7.live_data.json,,852.3,,,,avnWu77KPA,665322,2018-07-10 13:51:24.492,5568237d-0806-4476-888e-46b60257e1c7,,,,,,,,2018-07-10 13:51:24.492,UTC-0300,1.281034,,,,,,2018-07-10 13:50:07.000,1.4444444,1001,2018-07-10 13:39:02.000,,com.sec.android.app.shealth,,,38.28,,,,
,55977873-cb54-4f0f-ba4e-342a1baa3976.live_data.json,,1880.73,,,,avnWu77KPA,1509849,2018-03-01 23:28:58.447,55977873-cb54-4f0f-ba4e-342a1baa3976,,,,,,,,2018-03-01 23:28:58.447,UTC-0400,1.2456411,,,,,,2018-03-01 23:23:13.000,1.9444444,1001,2018-03-01 22:58:04.000,,com.sec.android.app.shealth,,,85.93,,,,
,55993edd-a3ee-4427-9aa0-28c5f35103bc.live_data.json,,1552.8,,,,avnWu77KPA,1151794,2018-05-02 19:10:45.052,55993edd-a3ee-4427-9aa0-28c5f35103bc,,,,,,,,2018-05-02 19:10:45.052,UTC-0300,1.3481576,,,,,,2018-05-02 19:09:11.000,1.5277778,1001,2018-05-02 18:50:00.000,,com.sec.android.app.shealth,,,67.840004,,,,
,561b64a5-bb56-4b2b-b1ac-fa9461648042.live_data.json,,1892.85,,,,dgrrqaEJmv,1415607,2018-08-20 18:49:33.088,561b64a5-bb56-4b2b-b1ac-fa9461648042,,,,,,,,2018-08-20 18:49:33.088,UTC-0300,1.3371296,,,,,,2018-08-20 18:44:48.000,2.5277777,1001,2018-08-20 18:21:13.000,,com.sec.android.app.shealth,,,86.14,,,,
,5633467f-32a0-4776-bec0-72792be465cd.live_data.json,,906.03,,,,avnWu77KPA,699214,2018-03-09 18:13:35.945,5633467f-32a0-4776-bec0-72792be465cd,,,,,,,,2018-03-09 18:13:35.945,UTC-0400,1.2957835,,,,,,2018-03-09 16:07:18.000,1.3801665,1001,2018-03-09 15:55:39.000,,com.sec.android.app.shealth,,,41.010002,,,,
,568733dc-5f88-44f4-9730-a08c9692f6dd.live_data.json,,1420.61,,,,avnWu77KPA,1215017,2017-11-26 22:33:59.017,568733dc-5f88-44f4-9730-a08c9692f6dd,,,,,,,,2017-11-26 22:33:59.017,UTC-0500,1.1692101,,,,,,2017-11-26 22:20:21.000,1.3888888,1001,2017-11-26 22:00:06.000,,com.sec.android.app.shealth,,,62.78,,,,
,56eae8fc-cd4c-41ea-9280-7a54d95366ff.live_data.json,,1061.41,,,,avnWu77KPA,785166,2018-05-17 19:54:56.444,56eae8fc-cd4c-41ea-9280-7a54d95366ff,,,,,,,,2018-05-17 19:54:56.444,UTC-0300,1.3518289,,,,,,2018-05-17 19:36:11.000,1.5555556,1001,2018-05-17 19:23:06.000,,com.sec.android.app.shealth,,,44.97,,,,
,56f3ef5a-6f4d-4fc3-a570-a471c25ea048.live_data.json,,1405.78,,,,avnWu77KPA,1131252,2018-05-18 22:12:21.240,56f3ef5a-6f4d-4fc3-a570-a471c25ea048,,,,,,,,2018-05-18 22:12:21.240,UTC-0300,1.2426764,,,,,,2018-05-18 22:11:19.000,1.5277778,1001,2018-05-18 21:52:28.000,,com.sec.android.app.shealth,,,62.34,,,,
,57178e06-d81d-48c6-8e74-c0a1ab3851b4.live_data.json,,907.53,,,,avnWu77KPA,697504,2018-04-25 19:28:37.413,57178e06-d81d-48c6-8e74-c0a1ab3851b4,,,,,,,,2018-04-25 19:28:37.413,UTC-0300,1.3011109,,,,,,2018-04-25 19:28:42.000,1.6255,1001,2018-04-25 19:17:04.000,,com.sec.android.app.shealth,,,38.98,,,,
,57686de8-8428-4650-b0ed-21afed5418b9.live_data.json,,1134.36,,,,avnWu77KPA,912099,2018-04-12 15:29:10.614,57686de8-8428-4650-b0ed-21afed5418b9,,,,,,,,2018-04-12 15:29:10.614,UTC-0300,1.2436808,,,,,,2018-04-12 15:26:25.000,1.5306666,1001,2018-04-12 15:11:13.000,,com.sec.android.app.shealth,,,53.89,,,,
