com.samsung.health.step_count,5802009,5
create_time,distance,time_offset,custom,count,end_time,speed,deviceuuid,start_time,pkg_name,update_time,datauuid,calorie,sample_position_type
2018-08-04 23:18:00.225,2.1,UTC-0300,,3,2018-08-04 23:19:00.000,1.2781497,dgrrqaEJmv,2018-08-04 23:18:00.000,com.sec.android.app.shealth,2018-08-04 23:18:02.080,043adea0-c7cb-4109-8251-36daf57d375f,0.089999996,
2018-07-16 22:15:23.544,53.490005,UTC-0300,,87,2018-07-16 22:16:00.000,1.3468356,avnWu77KPA,2018-07-16 22:15:00.000,com.sec.android.app.shealth,2018-07-16 22:15:59.918,045680ab-5414-4999-acb5-612889612425,2.8699985,
2018-07-09 14:59:08.155,25.480005,UTC-0300,,37,2018-07-09 15:00:00.000,1.1312764,avnWu77KPA,2018-07-09 14:59:00.000,com.sec.android.app.shealth,2018-07-09 14:59:29.614,0469dcaf-02f0-40e8-9b18-378ebce2cfdd,1.0999994,
2018-07-13 00:50:01.395,10.58,UTC-0300,,16,2018-07-13 00:49:00.000,0.97222227,avnWu77KPA,2018-07-13 00:48:00.000,com.sec.android.app.shealth,2018-07-13 00:50:01.395,046a2ba8-2623-4908-afcf-0e814e8ee7ef,0.49,
2018-07-11 22:58:14.375,23.9,UTC-0300,,34,2018-07-11 22:56:00.000,1.3055556,avnWu77KPA,2018-07-11 22:55:00.000,com.sec.android.app.shealth,2018-07-11 22:58:14.375,047b7a1e-83ec-4317-8631-7d69fc3587c9,1.01,
2018-08-04 22:55:15.696,10.14,UTC-0300,,14,2018-08-04 22:56:00.000,1.8055556,dgrrqaEJmv,2018-08-04 22:55:00.000,com.sec.android.app.shealth,2018-08-04 22:55:15.696,04acddd2-c160-42c7-b0ff-3ba15449b9b4,0.4,
2018-07-25 00:56:21.964,79.42,UTC-0300,,111,2018-07-25 00:52:00.000,1.3888888,dgrrqaEJmv,2018-07-25 00:51:00.000,com.sec.android.app.shealth,2018-07-25 00:56:21.964,04b4dc2b-fc32-422c-9dea-2344b68d2ec6,3.36,
2018-08-06 02:50:36.145,30.500008,UTC-0300,,43,2018-08-06 02:51:00.000,1.3732169,dgrrqaEJmv,2018-08-06 02:50:00.000,com.sec.android.app.shealth,2018-08-06 02:50:59.551,04be7019-31a1-4149-981d-fc21fb3a5685,1.2699995,
2018-07-16 23:55:09.959,79.17,UTC-0300,,112,2018-07-16 23:48:00.000,1.3333334,avnWu77KPA,2018-07-16 23:47:00.000,com.sec.android.app.shealth,2018-07-16 23:55:09.959,04c3ab2e-333a-4b33-996f-ada3158a8674,3.36,
2018-07-18 23:17:00.566,67.190025,UTC-0300,,102,2018-07-18 23:18:00.000,1.2303691,dgrrqaEJmv,2018-07-18 23:17:00.000,com.sec.android.app.shealth,2018-07-18 23:17:55.673,04d0d153-28cb-4562-bdec-89f32cc60b5e,3.4099972,
2018-07-21 01:49:19.465,82.68,UTC-0300,,115,2018-07-21 01:39:00.000,1.4166666,dgrrqaEJmv,2018-07-21 01:38:00.000,com.sec.android.app.shealth,2018-07-21 01:49:19.465,04ef1fbe-7eb5-4172-acde-37dbfd96006e,3.46,
2018-07-20 00:45:00.330,69.25,UTC-0300,,99,2018-07-20 00:39:00.000,1.2222222,dgrrqaEJmv,2018-07-20 00:38:00.000,com.sec.android.app.shealth,2018-07-20 00:45:00.330,04efd698-abd7-42b0-9436-62afdd6ee2f0,2.97,
2018-08-04 00:07:57.973,73.84,UTC-0300,,104,2018-08-03 23:56:00.000,1.3611112,dgrrqaEJmv,2018-08-03 23:55:00.000,com.sec.android.app.shealth,2018-08-04 00:07:57.973,0500212c-fc69-4d6a-866d-70e8c2977312,3.12,
2018-07-21 19:35:25.488,74.47,UTC-0300,,107,2018-07-21 19:30:00.000,1.2411667,dgrrqaEJmv,2018-07-21 19:29:00.000,com.sec.android.app.shealth,2018-07-21 19:35:25.488,050e8c94-6dbb-446c-bfaa-9d8bdfdc7821,3.21,
2018-07-22 20:34:59.975,75.44,UTC-0300,,108,2018-07-22 20:28:00.000,1.2573333,dgrrqaEJmv,2018-07-22 20:27:00.000,com.sec.android.app.shealth,2018-07-22 20:34:59.975,051968d0-c7a2-4659-9499-eadf66cb75e8,3.24,
2018-07-16 01:54:58.600,70.8,UTC-0300,,102,2018-07-16 01:45:00.000,1.1944444,avnWu77KPA,2018-07-16 01:44:00.000,com.sec.android.app.shealth,2018-07-16 01:54:58.600,052c324e-53f1-4b10-95f6-44b830231f37,3.06,
2018-07-16 13:14:57.575,36.21,UTC-0300,,49,2018-07-16 13:07:00.000,1.2222222,avnWu77KPA,2018-07-16 13:06:00.000,com.sec.android.app.shealth,2018-07-16 13:14:57.575,0536dcf1-6155-414c-bccd-880ee9d3973c,1.6,
2018-07-23 21:15:27.130,71.84999,UTC-0300,,109,2018-07-23 21:16:00.000,1.2496296,dgrrqaEJmv,2018-07-23 21:15:00.000,com.sec.android.app.shealth,2018-07-23 21:17:14.619,058c7ef8-811d-4269-8642-b7536fda147a,3.5699997,
2018-07-11 23:01:48.799,31.35,UTC-0300,,50,2018-07-11 23:01:00.000,1.3055556,avnWu77KPA,2018-07-11 23:00:00.000,com.sec.android.app.shealth,2018-07-11 23:01:48.799,0594866c-6337-4d62-9c43-635d8f897a4a,2.29,
