com.samsung.shealth.activity.day_summary,6000085,1
others_time,goal,longest_idle_time,create_time,distance,run_time,step_count,walk_time,day_time,deviceuuid,active_time,score,pkg_name,update_time,longest_active_time,datauuid,extra_data,calorie
0,-1,43980000,2018-05-27 04:00:04.994,7279.7173,9971,10322,6060931,1527379200000,avnWu77KPA,6070902,0,com.sec.android.app.shealth,2018-05-28 03:17:53.328,934551,0d78692c-2c70-485b-b7f2-31db7dc8acec,0d78692c-2c70-485b-b7f2-31db7dc8acec.extra_data.json,323.0915
0,-1,47640000,2018-05-30 04:00:40.911,4866.3315,0,6862,3772711,1527638400000,avnWu77KPA,3772711,0,com.sec.android.app.shealth,2018-05-31 23:08:50.391,791099,0f8f9ced-d3bf-4a9b-bce0-befa85fc072d,0f8f9ced-d3bf-4a9b-bce0-befa85fc072d.extra_data.json,213.11432
0,-1,20220000,2018-04-09 04:01:04.989,3420.237,5765,4881,2671791,1523232000000,avnWu77KPA,2677556,0,com.sec.android.app.shealth,2018-04-16 17:45:36.133,742732,0f982954-a149-4db9-a671-181b62dfb79f,0f982954-a149-4db9-a671-181b62dfb79f.extra_data.json,156.948
0,-1,67140000,2017-07-27 04:00:34.828,2094.5215,41743,2930,1499970,1501113600000,avnWu77KPA,1541713,0,com.sec.android.app.shealth,2017-07-28 02:14:19.903,765454,1088e117-de58-4cba-b000-01f84291a408,1088e117-de58-4cba-b000-01f84291a408.extra_data.json,90.185844
0,-1,31740000,2018-02-22 05:01:33.992,5144.037,0,7301,4171318,1519257600000,avnWu77KPA,4171318,0,com.sec.android.app.shealth,2018-02-23 05:19:52.461,1470408,10e5b13c-2685-4f00-976e-64bf40c17318,10e5b13c-2685-4f00-976e-64bf40c17318.extra_data.json,226.51501
0,-1,53940000,2018-07-31 04:00:00.696,3891.0623,1915,5638,3312264,1532995200000,dgrrqaEJmv,3314179,0,com.sec.android.app.shealth,2018-08-01 03:54:50.856,926715,10faf5a2-2dc8-4f60-af51-03e3fdc7089e,10faf5a2-2dc8-4f60-af51-03e3fdc7089e.extra_data.json,179.16202
0,-1,36180000,2017-12-31 16:00:07.506,7077.362,28796,9428,5640907,1514764800000,avnWu77KPA,5669703,0,com.sec.android.app.shealth,2018-01-01 14:10:50.234,2162450,122820b7-e2c9-4e6d-9edd-334a12298bb8,122820b7-e2c9-4e6d-9edd-334a12298bb8.extra_data.json,305.36365
0,-1,-1,2017-06-30 20:06:30.431,0.0,0,0,0,1498262400000,avnWu77KPA,0,0,com.sec.android.app.shealth,2017-06-30 20:06:30.431,0,1256bf92-f175-46cd-ad38-cb4815313208,1256bf92-f175-46cd-ad38-cb4815313208.extra_data.json,0.0
0,-1,19080000,2018-07-08 07:00:01.901,4450.5386,9200,6197,3777865,1531008000000,avnWu77KPA,3787065,0,com.sec.android.app.shealth,2018-07-09 04:00:01.156,240000,1377dc0b-e42a-45c0-8e6b-81150b328b10,1377dc0b-e42a-45c0-8e6b-81150b328b10.extra_data.json,191.84
0,-1,37080000,2017-05-23 04:00:00.326,7793.0205,67038,11031,6211386,1495497600000,avnWu77KPA,6278424,0,com.sec.android.app.shealth,2017-05-24 03:43:02.013,1268657,13ec7521-034c-44ef-922c-62f526eabe03,13ec7521-034c-44ef-922c-62f526eabe03.extra_data.json,342.11386
0,-1,43860000,2018-08-12 05:00:01.429,3392.5654,2400,4820,2757665,1534032000000,dgrrqaEJmv,2760065,0,com.sec.android.app.shealth,2018-08-13 01:48:24.740,736086,1425e7ba-d686-43d3-8f99-974518996de0,1425e7ba-d686-43d3-8f99-974518996de0.extra_data.json,146.25801
0,-1,21060000,2018-01-11 05:37:57.460,2086.52,14761,2907,1616918,1515628800000,avnWu77KPA,1631679,0,com.sec.android.app.shealth,2018-01-12 02:12:18.746,420000,144136f0-f98d-4f73-821a-1458ecb2bc0a,144136f0-f98d-4f73-821a-1458ecb2bc0a.extra_data.json,91.200005
0,-1,35640000,2018-09-08 04:00:01.379,5571.364,6000,8062,4449785,1536364800000,dgrrqaEJmv,4455785,0,com.sec.android.app.shealth,2018-09-09 03:03:04.044,1322034,147757e8-cc5f-4303-bc1e-c158e5ea8ea8,147757e8-cc5f-4303-bc1e-c158e5ea8ea8.extra_data.json,252.66266
0,-1,35700000,2017-04-27 04:00:00.574,7207.1963,65076,10185,5727273,1493251200000,avnWu77KPA,5792349,0,com.sec.android.app.shealth,2017-04-28 01:22:56.170,1868535,15090d53-1218-42e3-b4ac-35d796ebb825,15090d53-1218-42e3-b4ac-35d796ebb825.extra_data.json,319.52155
0,-1,38700000,2017-10-06 04:00:01.389,11241.0205,744,15931,8943605,1507248000000,avnWu77KPA,8944349,0,com.sec.android.app.shealth,2017-10-27 05:16:16.674,1456168,151eabe7-0964-4959-888c-2908a33884ce,151eabe7-0964-4959-888c-2908a33884ce.extra_data.json,489.89215
0,-1,38760000,2017-05-31 23:00:00.998,7276.2495,58746,10709,6665892,1496275200000,avnWu77KPA,6724638,0,com.sec.android.app.shealth,2017-06-01 22:14:59.398,1101428,158f21dd-235b-474a-b714-a212b6facb0b,158f21dd-235b-474a-b714-a212b6facb0b.extra_data.json,343.6474
0,-1,-1,2017-06-30 20:06:30.595,0.0,0,0,0,1498435200000,avnWu77KPA,0,0,com.sec.android.app.shealth,2017-06-30 20:06:30.595,0,160bee6c-7ddd-4b02-96af-a27860fee1c2,160bee6c-7ddd-4b02-96af-a27860fee1c2.extra_data.json,0.0
0,-1,31080000,2018-04-10 04:00:17.492,5162.04,17229,7284,4106304,1523318400000,avnWu77KPA,4123533,0,com.sec.android.app.shealth,2018-04-10 21:52:32.179,847019,169098ea-edd9-45a9-bbc2-e0029ff7f775,169098ea-edd9-45a9-bbc2-e0029ff7f775.extra_data.json,233.26733
0,-1,33720000,2018-08-22 04:00:00.621,11541.177,7116,16519,9362125,1534896000000,dgrrqaEJmv,9369241,0,com.sec.android.app.shealth,2018-08-23 02:34:48.768,1263773,1694aa28-4bfc-4cdb-bc23-92c88f3c35bc,1694aa28-4bfc-4cdb-bc23-92c88f3c35bc.extra_data.json,503.46265
0,-1,36480000,2017-12-30 16:01:18.759,8501.085,6540,12020,7176898,1514678400000,avnWu77KPA,7183438,0,com.sec.android.app.shealth,2017-12-31 15:26:13.710,1488185,1749c558-60d6-417e-9022-726490c9e6cc,1749c558-60d6-417e-9022-726490c9e6cc.extra_data.json,368.2662
0,-1,42180000,2018-02-05 05:00:01.829,5864.826,6673,8338,4746848,1517788800000,avnWu77KPA,4753521,0,com.sec.android.app.shealth,2018-02-06 03:03:36.224,1404660,17d3ce29-df26-4a56-9c85-913c5f7e24f1,17d3ce29-df26-4a56-9c85-913c5f7e24f1.extra_data.json,261.85364
0,-1,-1,2016-01-01 00:01:19.016,0.0,0,0,0,1449619200000,avnWu77KPA,0,0,com.sec.android.app.shealth,2016-01-01 00:01:19.016,0,17ee9214-1397-4e53-85c3-f9ba18a7322e,17ee9214-1397-4e53-85c3-f9ba18a7322e.extra_data.json,0.0
0,-1,21420000,2018-08-06 04:00:00.592,2920.1765,61200,4018,2506762,1533513600000,dgrrqaEJmv,2567962,0,com.sec.android.app.shealth,2018-08-07 04:41:17.304,668780,17ef3a55-7aed-4821-a8cb-5c0223983824,17ef3a55-7aed-4821-a8cb-5c0223983824.extra_data.json,132.37349
0,-1,27060000,2017-11-29 05:00:02.862,6179.9277,39829,8848,5170905,1511913600000,avnWu77KPA,5210734,0,com.sec.android.app.shealth,2017-11-30 05:15:09.444,660000,18a19558-7e0a-41f1-ad4a-4549cd549132,18a19558-7e0a-41f1-ad4a-4549cd549132.extra_data.json,275.55026
0,-1,31920000,2017-05-26 04:00:07.979,8510.111,112827,11994,6805206,1495756800000,avnWu77KPA,6918033,0,com.sec.android.app.shealth,2017-05-27 03:00:03.057,1414534,18b2c9c7-0727-4890-aeea-7b1859480cda,18b2c9c7-0727-4890-aeea-7b1859480cda.extra_data.json,376.24142
0,-1,38580000,2018-03-12 04:14:50.418,3754.2583,14253,5324,3030063,1520812800000,avnWu77KPA,3044316,0,com.sec.android.app.shealth,2018-03-13 01:49:03.063,1398481,1957488c-beb1-467d-a7f1-4130a6a8c6c5,1957488c-beb1-467d-a7f1-4130a6a8c6c5.extra_data.json,174.69101
0,-1,33180000,2017-10-25 04:15:00.525,8709.513,3823,12347,7160801,1508889600000,avnWu77KPA,7164624,0,com.sec.android.app.shealth,2017-10-27 05:16:19.641,1524801,1a3348ec-1f98-4e54-ab5e-b4559f82d332,1a3348ec-1f98-4e54-ab5e-b4559f82d332.extra_data.json,387.54504
