com.samsung.health.oxygen_saturation,5802009,7
create_time,time_offset,custom,end_time,heart_rate,deviceuuid,start_time,pkg_name,update_time,datauuid,spo2,comment
2018-08-20 03:14:07.672,UTC-0300,,2018-08-20 03:13:52.418,71.0,dgrrqaEJmv,2018-08-20 03:13:52.418,com.sec.android.app.shealth,2018-08-20 03:14:07.672,0c008c4b-b5e5-4120-bde2-8e5374bda556,93.0,
2018-05-21 18:54:59.295,UTC-0300,,2018-05-21 18:54:40.354,81.0,avnWu77KPA,2018-05-21 18:54:40.354,com.sec.android.app.shealth,2018-05-21 18:54:59.295,0d357fbe-5781-4f2b-8982-89bebb8e1e89,96.0,
2018-08-02 21:59:26.205,UTC-0300,,2018-08-02 21:59:23.489,79.0,dgrrqaEJmv,2018-08-02 21:59:23.489,com.sec.android.app.shealth,2018-08-02 21:59:26.205,0d65a3ea-280b-441c-89f0-1927de25894a,99.0,
2018-08-14 16:35:38.969,UTC-0500,,2018-08-14 16:35:33.137,77.0,dgrrqaEJmv,2018-08-14 16:35:33.137,com.sec.android.app.shealth,2018-08-14 16:35:38.969,0e5e77a3-c1cc-44f1-a193-7428e9b8cf2d,93.0,
2018-06-04 19:12:40.410,UTC-0300,,2018-06-04 19:12:28.047,79.0,avnWu77KPA,2018-06-04 19:12:28.047,com.sec.android.app.shealth,2018-06-04 19:12:40.410,0edc153a-6a94-4b16-8c5b-0a7bd8529bbc,85.0,
2018-06-09 19:49:00.890,UTC-0300,,2018-06-09 19:48:42.095,72.0,avnWu77KPA,2018-06-09 19:48:42.095,com.sec.android.app.shealth,2018-06-09 19:49:00.890,0f1e712e-b369-41a0-955c-b9d3371f2463,94.0,
2018-05-18 21:05:44.884,UTC-0300,,2018-05-18 21:05:37.344,72.0,avnWu77KPA,2018-05-18 21:05:37.344,com.sec.android.app.shealth,2018-05-18 21:05:44.884,0f43d751-463d-44d1-a2bb-f54aa59e2241,92.0,
2018-08-11 19:26:45.760,UTC-0400,,2018-08-11 19:26:34.608,75.0,dgrrqaEJmv,2018-08-11 19:26:34.608,com.sec.android.app.shealth,2018-08-11 19:26:45.760,0f51d7a9-7775-4e3f-8c4f-e49a45eebd3a,97.0,
2018-07-03 19:39:52.250,UTC-0600,,2018-07-03 19:39:41.507,69.0,avnWu77KPA,2018-07-03 19:39:41.507,com.sec.android.app.shealth,2018-07-03 19:39:52.250,0f71378c-96b9-4e32-8916-a1e5d8d3cf3e,95.0,
2018-05-24 21:08:06.055,UTC-0300,,2018-05-24 21:07:54.496,70.0,avnWu77KPA,2018-05-24 21:07:54.496,com.sec.android.app.shealth,2018-05-24 21:08:06.055,0f9d85c6-b321-4bdf-9a97-93bd7f3067e4,93.0,
2018-05-30 19:58:07.694,UTC-0300,,2018-05-30 19:58:02.592,77.0,avnWu77KPA,2018-05-30 19:58:02.592,com.sec.android.app.shealth,2018-05-30 19:58:07.694,108b5f9b-796f-42bd-9df6-b5f5428e83fe,97.0,
2018-07-24 19:45:34.954,UTC-0300,,2018-07-24 19:45:26.167,74.0,dgrrqaEJmv,2018-07-24 19:45:26.167,com.sec.android.app.shealth,2018-07-24 19:45:34.954,10c0978c-99b6-43cb-8874-d96f175c94fe,94.0,
2018-08-08 19:02:54.445,UTC-0400,,2018-08-08 19:02:44.710,74.0,dgrrqaEJmv,2018-08-08 19:02:44.710,com.sec.android.app.shealth,2018-08-08 19:02:54.445,1125c6d4-79a1-4ce3-91d7-611b59f5426e,95.0,
2018-08-08 21:00:05.521,UTC-0400,,2018-08-08 20:59:58.387,67.0,dgrrqaEJmv,2018-08-08 20:59:58.387,com.sec.android.app.shealth,2018-08-08 21:00:05.521,12ac38b2-ed1b-4419-814a-1ba39c8c0966,90.0,
2018-05-24 00:20:48.658,UTC-0300,,2018-05-24 00:20:43.435,72.0,avnWu77KPA,2018-05-24 00:20:43.435,com.sec.android.app.shealth,2018-05-24 00:20:48.658,12be1c8e-6ca7-4612-8fa8-9974857ddae7,94.0,
2018-06-27 18:36:01.615,UTC-0600,,2018-06-27 18:35:48.057,78.0,avnWu77KPA,2018-06-27 18:35:48.057,com.sec.android.app.shealth,2018-06-27 18:36:01.615,131b823f-1a77-4b02-8ca3-8df08ca7bcdf,97.0,
2018-07-24 19:45:12.746,UTC-0300,,2018-07-24 19:45:04.738,82.0,dgrrqaEJmv,2018-07-24 19:45:04.738,com.sec.android.app.shealth,2018-07-24 19:45:12.746,13b8b39c-d0da-4cb6-8582-14176d440638,93.0,
