create_time	heart_rate
1535704638.143	84.0
1530589337.251	73.0
1492313287.452	61.0
1534548329.584	73.0
1528090704.868	110.0
1531210881.021	82.0
1528101371.526	71.0
1528423502.906	82.0
1528352024.527	76.0
1535511327.491	78.0
1535359843.865	102.0
1532912118.803	79.0
1536646143.966	90.0
1527645301.645	79.0
1528531945.615	73.0
1536783541.054	74.0
1536197926.035	107.0
1534993131.625	76.0
1537562278.24	74.0
1491851605.332	76.0
1533281619.946	77.0
1528146938.407	78.0
1534657450.332	86.0
1535153278.71	79.0
1537212827.592	76.0
1536477944.46	74.0
1535007346.783	87.0
1527739494.883	72.0
1536375000.178	75.0
1531295816.554	74.0
1528307927.603	76.0
1536701293.105	68.0
1532570808.359	67.0
1531648305.277	67.0
1537566074.066	73.0
1527644973.31	77.0
1531472082.586	73.0
