com.samsung.shealth.stress,6000085,7
create_time,time_offset,max,custom,end_time,deviceuuid,start_time,score,pkg_name,update_time,min,binning_data,datauuid,tag_id,comment,algorithm
2018-09-02 18:49:10.235,UTC-0300,,0f1bd85d-1962-4928-888c-2eebf56c3da9.custom.json,,dgrrqaEJmv,2018-09-02 18:49:08.477,43.0,com.sec.android.app.shealth,2018-09-02 18:49:10.235,,,0f1bd85d-1962-4928-888c-2eebf56c3da9,10002,,
2018-08-06 03:51:09.679,UTC-0300,,0fb33064-748c-4084-9e23-ec6c1084331c.custom.json,,dgrrqaEJmv,2018-08-06 03:51:07.575,37.0,com.sec.android.app.shealth,2018-08-06 03:51:09.679,,,0fb33064-748c-4084-9e23-ec6c1084331c,10002,,
2018-08-20 00:50:34.108,UTC-0300,,108a229a-1d06-4e2f-af11-3b7145ffbf76.custom.json,,dgrrqaEJmv,2018-08-20 00:50:30.973,31.0,com.sec.android.app.shealth,2018-08-20 00:50:34.108,,,108a229a-1d06-4e2f-af11-3b7145ffbf76,10002,,
2018-09-11 21:02:02.275,UTC-0300,,109bb89a-377c-4d02-a889-1d94344b519c.custom.json,,dgrrqaEJmv,2018-09-11 21:01:59.844,56.0,com.sec.android.app.shealth,2018-09-11 21:02:02.275,,,109bb89a-377c-4d02-a889-1d94344b519c,10002,,
2018-09-04 22:29:48.068,UTC-0300,,10c5f6e5-5550-46e4-befb-087c1dd13a76.custom.json,,dgrrqaEJmv,2018-09-04 22:29:45.628,62.0,com.sec.android.app.shealth,2018-09-04 22:29:48.068,,,10c5f6e5-5550-46e4-befb-087c1dd13a76,10002,,
2018-06-03 21:30:02.798,UTC-0300,,112ad8c1-06d8-4de3-8a5a-7e4307239870.custom.json,,avnWu77KPA,2018-06-03 21:30:00.420,6.0,com.sec.android.app.shealth,2018-06-03 21:30:02.798,,,112ad8c1-06d8-4de3-8a5a-7e4307239870,10002,,
2018-08-08 05:01:09.816,UTC-0400,,11c7aaec-2aa9-476b-bc08-b25ca1b39a08.custom.json,,dgrrqaEJmv,2018-08-08 05:01:07.704,18.0,com.sec.android.app.shealth,2018-08-08 05:01:09.816,,,11c7aaec-2aa9-476b-bc08-b25ca1b39a08,10002,,
2018-07-19 01:26:14.557,UTC-0300,,11f803b9-61dd-4fe3-8264-56de15f74156.custom.json,,dgrrqaEJmv,2018-07-19 01:26:12.226,81.0,com.sec.android.app.shealth,2018-07-19 01:26:14.557,,,11f803b9-61dd-4fe3-8264-56de15f74156,10002,,
2018-07-25 17:48:14.463,UTC-0300,,12924e87-47b0-4d4b-8abf-ba070601558a.custom.json,,dgrrqaEJmv,2018-07-25 17:48:10.508,56.0,com.sec.android.app.shealth,2018-07-25 17:48:14.463,,,12924e87-47b0-4d4b-8abf-ba070601558a,10002,,
2018-09-16 22:21:54.458,UTC-0300,23.0,129eb089-ecc7-48dc-b32a-1ad29d1b7d29.custom.json,2018-09-16 22:21:51.271,dgrrqaEJmv,2018-09-16 22:21:51.271,23.0,com.sec.android.app.shealth,2018-09-16 22:21:54.458,23.0,,129eb089-ecc7-48dc-b32a-1ad29d1b7d29,10002,,1
2018-06-27 17:32:29.016,UTC-0600,,131d259f-c58c-4089-9023-1b632315d8a2.custom.json,,avnWu77KPA,2018-06-27 17:32:25.500,81.0,com.sec.android.app.shealth,2018-06-27 17:32:29.016,,,131d259f-c58c-4089-9023-1b632315d8a2,10002,,
2018-09-17 20:14:04.175,UTC-0300,19.0,13277497-71ca-41d8-a972-41db562a72ad.custom.json,2018-09-17 20:14:01.150,dgrrqaEJmv,2018-09-17 20:14:01.150,19.0,com.sec.android.app.shealth,2018-09-17 20:14:04.175,19.0,,13277497-71ca-41d8-a972-41db562a72ad,10002,,1
2018-07-25 16:47:56.476,UTC-0300,,13951e2f-49bd-4112-9e6d-e03f21a0c19c.custom.json,,dgrrqaEJmv,2018-07-25 16:47:50.125,56.0,com.sec.android.app.shealth,2018-07-25 16:47:56.476,,,13951e2f-49bd-4112-9e6d-e03f21a0c19c,10002,,
2018-06-04 18:18:24.647,UTC-0300,,14ba8312-ab65-4e52-a05b-85deb0885daa.custom.json,,avnWu77KPA,2018-06-04 18:18:21.232,25.0,com.sec.android.app.shealth,2018-06-04 18:18:24.647,,,14ba8312-ab65-4e52-a05b-85deb0885daa,10002,,
2018-08-05 20:44:18.035,UTC-0300,,1532d093-fb0a-4472-a693-ffb20b7956fb.custom.json,,dgrrqaEJmv,2018-08-05 20:44:15.394,37.0,com.sec.android.app.shealth,2018-08-05 20:44:18.035,,,1532d093-fb0a-4472-a693-ffb20b7956fb,10002,,
2018-07-30 02:27:57.995,UTC-0300,,155812e8-16b9-49e4-933d-9197a789e5ef.custom.json,,dgrrqaEJmv,2018-07-30 02:27:56.321,50.0,com.sec.android.app.shealth,2018-07-30 02:27:57.995,,,155812e8-16b9-49e4-933d-9197a789e5ef,10002,,
2018-05-18 16:50:11.340,UTC-0300,,15e2ac28-7fe8-4c5a-8ae1-2dfce338f3f0.custom.json,,avnWu77KPA,2018-05-18 16:49:59.433,43.0,com.sec.android.app.shealth,2018-05-18 16:50:11.340,,,15e2ac28-7fe8-4c5a-8ae1-2dfce338f3f0,10002,,
