com.samsung.shealth.step_daily_trend,6000085,5
create_time,distance,count,source_type,day_time,speed,deviceuuid,pkg_name,update_time,binning_data,datauuid,calorie,source_pkg_name
2018-08-07 20:19:10.000,5573.05,7880,-2,1501545600000,1.3970672,VfS0qUERdZ,com.sec.android.app.shealth,2018-08-07 20:19:10.000,03ca1ae5-1d6d-4a63-9f9b-96e3c3825b2a.binning_data.json,03ca1ae5-1d6d-4a63-9f9b-96e3c3825b2a,241.62999,com.sec.android.app.shealth
2018-08-07 20:19:09.879,2662.23,3823,0,1504656000000,3.9166667,dgrrqaEJmv,com.sec.android.app.shealth,2018-08-07 20:19:09.879,0425c457-ceb6-4adb-86ff-1cd78fdd54aa.binning_data.json,0425c457-ceb6-4adb-86ff-1cd78fdd54aa,119.35,com.sec.android.app.shealth
2018-08-07 20:19:09.868,8075.4497,11518,0,1502409600000,2.385352,dgrrqaEJmv,com.sec.android.app.shealth,2018-08-07 20:19:09.868,044c67f6-97b9-47c6-b62b-ec30277a536c.binning_data.json,044c67f6-97b9-47c6-b62b-ec30277a536c,351.97995,com.sec.android.app.shealth
2018-08-07 20:19:10.101,3976.8,5789,-2,1531785600000,1.3073348,VfS0qUERdZ,com.sec.android.app.shealth,2018-08-07 20:19:10.101,048a9e2c-5817-4546-ace4-9c0d5af923ca.binning_data.json,048a9e2c-5817-4546-ace4-9c0d5af923ca,187.23997,com.sec.android.app.shealth
2018-08-07 20:19:10.004,7541.8496,10645,-2,1502841600000,1.394531,VfS0qUERdZ,com.sec.android.app.shealth,2018-08-07 20:19:10.004,04c3146e-3c87-4b2c-abf2-965b2380d296.binning_data.json,04c3146e-3c87-4b2c-abf2-965b2380d296,323.99997,com.sec.android.app.shealth
2018-08-07 20:19:09.844,5011.4097,7104,0,1494806400000,6.9444427,dgrrqaEJmv,com.sec.android.app.shealth,2018-08-07 20:19:09.844,04cf7505-311e-46c7-ae5e-e379ab06d47b.binning_data.json,04cf7505-311e-46c7-ae5e-e379ab06d47b,220.74995,com.sec.android.app.shealth
2018-08-07 20:19:09.914,4379.74,6411,0,1513209600000,4.8333344,dgrrqaEJmv,com.sec.android.app.shealth,2018-08-07 20:19:09.914,04e7d587-1b57-4683-b6b8-39cd98dea7ca.binning_data.json,04e7d587-1b57-4683-b6b8-39cd98dea7ca,201.15,com.sec.android.app.shealth
2018-08-07 20:19:10.042,9807.07,13798,-2,1513900800000,1.4032191,VfS0qUERdZ,com.sec.android.app.shealth,2018-08-07 20:19:10.042,04e93ee4-9c46-4a97-91b8-ae4170af7289.binning_data.json,04e93ee4-9c46-4a97-91b8-ae4170af7289,432.11,com.sec.android.app.shealth
2018-08-07 20:19:10.014,4279.3003,6170,-2,1506297600000,1.3375714,VfS0qUERdZ,com.sec.android.app.shealth,2018-08-07 20:19:10.014,055f3115-3d2f-428b-b371-36cbc118d6fc.binning_data.json,055f3115-3d2f-428b-b371-36cbc118d6fc,190.42,com.sec.android.app.shealth
2018-08-07 20:19:09.924,7557.11,10732,0,1516752000000,2.3611112,dgrrqaEJmv,com.sec.android.app.shealth,2018-08-07 20:19:09.924,06363c00-36bc-46ea-b349-74de76276539.binning_data.json,06363c00-36bc-46ea-b349-74de76276539,339.22998,com.sec.android.app.shealth
2018-08-07 20:19:10.079,3755.07,5486,-2,1525046400000,1.3440427,VfS0qUERdZ,com.sec.android.app.shealth,2018-08-07 20:19:10.079,06c8e510-e814-420f-9984-c39dfa8a0978.binning_data.json,06c8e510-e814-420f-9984-c39dfa8a0978,176.01999,com.sec.android.app.shealth
2018-08-07 20:19:10.073,7483.11,10589,-2,1522972800000,1.3819364,VfS0qUERdZ,com.sec.android.app.shealth,2018-08-07 20:19:10.073,06f42645-651f-4a01-abc4-691f33208a15.binning_data.json,06f42645-651f-4a01-abc4-691f33208a15,327.69,com.sec.android.app.shealth
2018-08-07 20:19:10.082,864.57,1195,-2,1526256000000,1.4353638,VfS0qUERdZ,com.sec.android.app.shealth,2018-08-07 20:19:10.082,0779d5c3-843d-49fc-b34b-bbdd4265d5f4.binning_data.json,0779d5c3-843d-49fc-b34b-bbdd4265d5f4,39.2,com.sec.android.app.shealth
2018-08-07 20:19:09.859,5378.31,7639,0,1499990400000,3.1388888,dgrrqaEJmv,com.sec.android.app.shealth,2018-08-07 20:19:09.859,080519c6-6071-48c5-9da5-9814b3b09b99.binning_data.json,080519c6-6071-48c5-9da5-9814b3b09b99,235.7,com.sec.android.app.shealth
