create_time	distance	time_offset	count	speed	calorie
1532021713.572	52.31	UTC-0300	103	1.3055556	3.06
1531968898.678	87.08	UTC-0300	123	1.4513334	3.69
1534406100.353	65.54	UTC-0500	95	1.1666666	2.85
1533332094.829	83.2	UTC-0300	117	1.3888888	3.56
1532996718.971	59.01	UTC-0300	94	1.2777778	2.82
1534584187.057	22.91	UTC-0500	33	1.1944444	0.98
1531703698.739	81.25	UTC-0300	115	1.3541666	3.45
1534655722.61	83.12	UTC-0300	115	1.4722222	3.45
1534655726.905	87.07	UTC-0300	121	1.4511666	3.6299999
1531703398.287	72.43	UTC-0300	104	1.2222222	3.12
1534574097.894	79.299995	UTC-0500	115	1.3216667	3.45
1532559178.329	41.3	UTC-0300	59	1.25	1.77
1534489622.208	45.71	UTC-0500	63	1.5277778	1.89
1531541321.507	58.86	UTC-0300	84	1.25	2.52
1533662945.013	25.91	UTC-0400	34	1.3240288	1.2399998
1531289699.347	34.54	UTC-0300	52	1.4166666	1.93
1532110452.43	56.330006	UTC-0300	90	1.2331402	3.959998
1531614703.57	77.88	UTC-0300	108	1.4166666	3.38
1534638207.318	16.55	UTC-0300	24	1.1388888	0.72
1531799710.268	68.39	UTC-0300	101	1.5277778	3.68
1531709516.822	41.18	UTC-0300	59	1.1944444	1.77
1531861864.489	79.79007	UTC-0300	114	1.3298346	3.4199972
1532558976.629	63.03	UTC-0300	90	1.2222222	2.7
1533186933.5	70.68	UTC-0300	98	1.4722222	2.93
1533954949.964	9.71	UTC-0400	14	1.1388888	0.42
1532147607.045	87.81	UTC-0300	123	1.4635	3.7
1532150096.506	10.61	UTC-0300	14	1.8333334	0.41
1534720109.582	8.77	UTC-0300	12	1.703529	0.37
1533854682.458	19.640005	UTC-0400	29	1.0941726	0.86999965
1534731323.988	73.85	UTC-0300	106	1.2308333	3.18
1534482703.616	75.46	UTC-0500	106	1.3611112	3.18
1532820888.877	62.98	UTC-0300	84	1.5674967	3.1
1534717686.62	11.52	UTC-0300	17	1.2222222	0.52
1533957794.217	70.99	UTC-0400	93	1.7222222	3.04
1532148897.619	23.65	UTC-0300	30	1.8055556	1.02
1533593100.62	2.07	UTC-0300	3	1.1944444	0.089999996
1534235700.111	8.22	UTC-0500	11	1.6388888	0.31
1533269829.081	38.73	UTC-0300	54	1.3888888	1.62
1532241336.292	73.81	UTC-0300	105	1.25	3.13
1530707700.07	19.36	UTC-0600	26	2.2500002	0.77
1532141700.346	80.21	UTC-0300	113	1.3611112	3.39
1534412206.821	5.3199997	UTC-0500	7	1.2258065	0.24
1531160612.93	35.64	UTC-0300	76	1.240198	2.2399988
1531259698.485	74.98	UTC-0300	101	1.6111112	3.07
1533078904.612	79.84	UTC-0300	113	1.3333334	3.39
1531541940.524	52.269993	UTC-0300	74	1.3209167	2.2199993
1533523857.812	77.71	UTC-0300	111	1.2951667	3.33
1534200678.977	41.84	UTC-0400	59	1.3333334	1.77
1532823296.9	76.88	UTC-0300	109	1.3055556	3.27
1534889696.397	89.9	UTC-0300	126	1.4983333	3.78
1533153295.312	43.01	UTC-0300	104	1.3055557	2.97
1532065780.771	67.83	UTC-0300	98	1.1944444	2.94
1533957330.455	89.54	UTC-0400	121	1.6111112	3.67
1534202073.143	77.09	UTC-0400	110	1.2848332	3.3
1530937816.565	15.18	UTC-0600	22	1.093795	0.6099999
1533272099.733	52.96	UTC-0300	74	1.4166665	2.22
1533690051.202	10.199999	UTC-0400	15	1.1444376	0.39000002
1532166240.336	6.2299995	UTC-0300	9	1.19037	0.26999998
1534029292.507	28.52	UTC-0400	38	1.5	1.14
1534392187.224	16.22	UTC-0500	24	1.1311957	0.72999984
1534997475.402	13.76	UTC-0300	18	1.1666666	0.7
1534214097.007	14.07	UTC-0400	19	1.3888888	0.55
1531117586.22	17.169998	UTC-0300	23	1.6793904	0.62999994
1531347328.487	52.43	UTC-0300	75	1.2785041	2.25
1531080866.629	12.059999	UTC-0600	17	1.2311878	0.5
1532148897.205	89.59	UTC-0300	120	1.6666666	3.63
