	time	mood	social	alone	morale	stress	fatigue	compulsions	leisure_activity	trying_to_leave_apt_activity	feedly_activity	schoolworrk_activity	with_parents_activity	working_activity	eating_activity	just_woke_up_activity	workshop_activity	studying_activity	with_friends_activity	tv_activity	school_work_activity	errands_activity	resting_activity	washing_up_activity	ash_stuff_activity	commuting_activity	getting_ready_activity	chatting_activity	with_k_activity	working_out_activity	reading_activity	shopping_activity	work_activity	in_class_activity	schoolwork_activity	therapy_activity	cooking_activity	with_kevin_activity	email_activity	parents_home_location	home_location	vacation_location	therapy_location	mountain_view_location	library_location	airport_location	school_location	kevin_home_location	Sadness_score	Analytical_score	Joy_score	Fear_score	Tentative_score	Anger_score	Confident_score	blinks	max_attention	max_engagement	max_valence	min_attention	min_engagement	min_valence	productivity_score
168	2018-06-13 18:44:01.423587-04:00	3.0	0	True	3.0	0.0	1.5	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11	98.7722396850586	93.88118743896484	0.0	95.01160430908203	0.07944373786449432	-11.669697761535645	77.83
169	2018-06-14 16:01:52.579415-04:00	3.0	0	True	3.0	0.0	2.5	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	0.0	0.711527	0.812511	0.0	0.932809	0.0	0.0	9	98.78485870361328	48.1798210144043	0.0	62.1915397644043	0.07990371435880661	-31.861328125	6.56
170	2018-06-14 17:07:28.405225-04:00	3.0	0	True	3.0	0.0	2.5	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	0.0	0.711527	0.812511	0.0	0.932809	0.0	0.0	18	98.7784652709961	99.92088317871094	0.0	37.58049011230469	0.0	-100.0	25.35
171	2018-06-14 18:09:18.127715-04:00	3.0	3	True	2.5	0.0	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.849113	0.0	0.0	18	98.7784652709961	99.92088317871094	0.0	37.58049011230469	0.0	-100.0	27.54
172	2018-06-14 19:57:18.776021-04:00	3.0	0	True	2.0	0.0	3.5	True	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	0.63065	0.0	0.572992	0.0	0.876678	0.0	0.0	18	98.7784652709961	99.92088317871094	0.0	37.58049011230469	0.0	-100.0	46.49
173	2018-06-18 11:13:25.128331-04:00	3.0	1	True	3.0	0.0	1.0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	0.0	0.0	0.607367	0.0	0.871946	0.0	0.0	0	98.72992706298828	3.9951021671295166	0.0	95.08572387695312	0.08001168072223663	0.0	2.85
174	2018-06-18 12:17:13.856715-04:00	3.0	0	True	3.0	0.0	1.0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	0.0	0.0	0.0	0.0	0.959646	0.0	0.0	0	98.72992706298828	3.9951021671295166	0.0	95.08572387695312	0.08001168072223663	0.0	46.06
175	2018-06-18 13:18:29.327594-04:00	3.5	1	True	3.5	0.0	0.5	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	True	False	True	False	False	False	False	0.52392	0.0	0.602703	0.0	0.911912	0.0	0.0	1	98.78695678710938	83.14586639404297	0.0	76.74274444580078	0.08089226484298706	-91.55630493164062	71.77
176	2018-06-18 14:21:06.867552-04:00	3.0	0	True	3.5	0.0	0.5	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	True	False	True	False	False	False	False	0.0	0.0	0.647343	0.0	0.797965	0.0	0.0	1	98.7864761352539	99.7266616821289	0.0	84.13557434082031	0.0809934139251709	-47.77237319946289	81.57
177	2018-06-18 16:00:25.038558-04:00	3.0	0	True	3.5	0.0	1.0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	True	False	True	False	False	False	False	0.0	0.0	0.718484	0.0	0.0	0.0	0.0	0	98.25641632080078	51.11907196044922	40.595951080322266	48.6475830078125	0.07990127801895142	-22.880043029785156	67.58
178	2018-06-18 17:45:46.431448-04:00	3.5	1	True	4.0	0.0	1.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	0.0	0.0	0.718484	0.0	0.0	0.0	0.0	0	98.25641632080078	51.11907196044922	40.595951080322266	48.6475830078125	0.07990127801895142	-22.880043029785156	60.94
179	2018-06-19 11:38:48.033396-04:00	3.0	0	True	4.0	1.0	1.0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	True	False	True	False	False	False	False	0.0	0.836027	0.595508	0.0	0.794448	0.0	0.0	8	98.78275299072266	99.90857696533203	34.381019592285156	52.85895919799805	0.0	-56.74483871459961	89.43
180	2018-06-19 12:41:40.741966-04:00	3.5	1	True	3.5	0.0	1.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	True	False	True	False	False	False	False	0.0	0.0	0.638408	0.0	0.76777	0.522894	0.0	1	98.7869644165039	49.38714599609375	0.0	97.7468032836914	0.08028246462345123	-61.95415115356445	62.61
181	2018-06-19 14:06:54.244025-04:00	3.5	0	True	3.5	1.0	1.0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	True	False	True	False	False	False	False	0.0	0.816179	0.715691	0.0	0.664175	0.0	0.0	0	96.27989959716797	0.08721286058425903	0.0	94.56934356689453	0.07967512309551239	0.0	96.36
182	2018-06-19 15:07:59.454030-04:00	4.0	1	True	4.0	1.5	1.0	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	0.0	0.879391	0.5977	0.0	0.0	0.0	0.0	4	98.786376953125	99.62248992919922	0.43944835662841797	41.297874450683594	0.07936429232358932	-46.77442932128906	45.03
183	2018-06-19 16:50:01.181026-04:00	3.0	2	True	3.0	1.0	2.0	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	0.0	0.0	0.557986	0.0	0.601046	0.0	0.0	0	98.78609466552734	99.85581970214844	0.0	41.07187271118164	0.07930630445480347	-65.53009033203125	74.59
184	2018-06-19 18:02:41.094567-04:00	3.5	4	True	4.0	1.0	1.5	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	0.0	0.0	0.542118	0.0	0.876641	0.0	0.0	12	98.78602600097656	99.92101287841797	99.4757308959961	87.97886657714844	0.08024987578392029	-99.99620056152344	64.34
185	2018-06-20 11:47:53.763922-04:00	3.0	1	True	3.0	0.0	1.5	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	0.0	0.0	0.691088	0.0	0.914133	0.0	0.0	6	97.75560760498047	88.46874237060547	2.7382307052612305	47.36373519897461	0.07944930344820023	-6.7532196044921875	30.76
186	2018-06-20 12:48:49.785712-04:00	2.5	1	True	2.5	0.0	1.5	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	0.0	0.511838	0.578734	0.0	0.78378	0.57769	0.0	0	98.76582336425781	99.91897583007812	98.1733627319336	94.10969543457031	0.07965246587991714	-36.021331787109375	26.73
187	2018-06-20 13:50:30.074169-04:00	3.0	2	True	3.0	0.5	1.0	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	0.589276	0.0	0.601507	0.0	0.0	0.0	0.0	3	98.78094482421875	55.7299690246582	0.0	92.38164520263672	0.08015312254428864	-12.209004402160645	42.17
188	2018-06-20 14:54:54.292349-04:00	3.0	1	True	2.5	0.0	1.5	False	True	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	0.0	0.0	0.531234	0.0	0.0	0.0	0.0	1	98.78024291992188	99.84305572509766	0.0	36.324039459228516	0.07965079694986343	-50.34221649169922	57.31
189	2018-06-20 19:16:57.533568-04:00	3.0	1	True	3.0	1.0	2.0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	True	False	True	False	False	False	False	0.575457	0.803906	0.501047	0.0	0.0	0.0	0.0	0	98.78691101074219	99.91905975341797	92.11502838134766	96.80469512939453	0.07980026304721832	0.0	87.98
190	2018-06-20 20:18:05.896190-04:00	3.0	0	True	3.5	1.5	2.5	True	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	True	False	True	False	False	False	False	0.63917	0.0	0.0	0.0	0.0	0.0	0.979426	1	98.78226470947266	98.35503387451172	0.0	45.454166412353516	0.0797676146030426	-7.385807514190674	79.84
191	2018-06-20 22:25:00.367234-04:00	4.0	1	False	4.0	0.0	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	True	False	False	False	False	False	False	True	False	True	False	False	False	False	0.669659	0.0	0.0	0.0	0.0	0.0	0.0	0	98.77977752685547	99.92015075683594	99.82628631591797	47.67267608642578	0.08123747259378433	-56.57067108154297	88.49
