index	time	mood	social	alone	morale	stress	fatigue	compulsions	email_activity	just_woke_up_activity	getting_ready_activity	errands_activity	resting_activity	with_parents_activity	reading_activity	with_friends_activity	therapy_activity	commuting_activity	meditation_activity	schoolwork_activity	washing_up_activity	with_k_activity	eating_activity	trying_to_leave_apt_activity	work_activity	tv_activity	working_out_activity	feedly_activity	leisure_activity	cooking_activity	ash_stuff_activity	chatting_activity	in_class_activity	workshop_activity	shopping_activity	studying_activity	working_activity	friend_home_location	library_location	la_location	therapy_location	parents_home_location	airport_location	vacation_location	home_location	cafe_location	mountain_view_location	k_home_location	school_location	Sadness_score	Analytical_score	Joy_score	Fear_score	Tentative_score	Anger_score	Confident_score	word_count	uniqueword_ratio	backspace_count	avg_dwelltime	avg_flighttime	avg_attention	avg_engagement	avg_valence	blinks	productivity_score	current_tabCount	current_windowCount	tabs_activated	tabs_created	windows_created	phone_unlocks	phone_use_secs	walking_distance	walking_duration	avg_walking_speed
ash_stuff_activity	-0.10202339278387354	-0.07332155019861648	0.13441726875040433	0.13007815756060795	0.11526473890867456	0.057827856650742755	-0.02850401122187826	0.06489062470888586	0.057891264085468096	0.0	0.0	-0.049595493661831844	-0.040379486716000265	0.0	-0.02849281277254837	-0.04959549366183159	-0.02849281277254847	0.0	0.05210027058722359	-0.22806267548741818	-0.040379486716000196	-0.06707363979678975	-0.06666715740659557	0.0	-0.24502206201007035	-0.11102875272800251	-0.06425180695302736	-0.15020522811104708	-0.22455088105881968	0.0	1.0	-0.07153227113256791	-0.02849281277254855	0.0	-0.028492812772548625	-0.08694598653491678	-0.07053456158585959	-0.07625803888714673	0.0	0.003216099178412275	0.0	-0.11719715463101481	-0.02849281277254849	-0.06691740458145713	0.20472594065649866	0.0018085785022014546	-0.085339993598288	-0.06707363979678974	0.01147693072202166	-0.024779946159081755	-0.16281319914177333	0.031039539509645823	0.07162901326850978	0.00025433329032739676	-0.1151496264074622	-0.02889383241892775	0.09795704281633193	-0.10695332890714519	0.08372473068483341	-0.019692063847002866	0.08591030387959912	-0.016657534427297678	0.10464247509144528	-0.015693045969999875	-0.08128749623264737	0.08379103230499219	0.006597339686087865	0.02316729578597575	-0.02246619358024531	0.061152330959691546	0.13002027402162328	-0.03307578229866765	-0.0692093034081829	0.07211202497618063	0.07108533844211262	0.07553986462650408
chatting_activity	0.04516793943014151	0.09487858396720561	0.45617010488729115	0.05830552975920015	-0.1878887195571561	0.24068235692721557	0.07113130793050819	-0.02576365200116055	-0.05777631046154095	0.0	0.0	0.0571413390982225	-0.030556616567607088	0.0	-0.02156154091177168	0.013186462868820475	-0.02156154091177176	0.0	-0.037502930030867576	-0.10737548336039587	-0.030556616567607248	-0.08606629658238643	0.08021099094104335	0.0	-0.12066138469801377	0.003445593358535473	-0.0486216638326316	-0.02273314464901568	-0.05737753105492425	0.0	-0.07153227113256791	1.0	-0.02156154091177183	0.0	-0.02156154091177193	-0.06579516949597662	-0.053376051268362534	-0.11366572324507895	0.0	0.06327719971683393	0.0	0.10724978403434338	-0.021561540911771777	-0.017792017089454035	0.1142105590728883	-0.05337605126836243	-0.07472328958998366	-0.08606629658238645	-0.0066414768248403595	0.061589478704268084	0.07444762230773472	-0.03585480594317465	0.1742944203665707	-0.01987939273679673	0.05217434110312379	-0.0028678836898962407	0.001838504561697064	0.0014306813088982753	-0.07104930616644646	-0.029300811375039145	-0.11799478168417621	0.01899614129463925	0.08786175742791459	0.0529839114580128	0.037202758296305566	-0.13151961040033222	-0.010947289720168776	-0.09384524769595676	-0.0360325923253849	-0.03538766580462679	-0.037795624690421505	0.31578692719522633	0.19097583957133918	0.10335420510358707	0.10462104859507552	0.09405040959879898
in_class_activity	0.028607665421329517	0.0561219726008545	0.018636120718587616	-0.10182972228812778	0.09466945364394046	-0.014153134051712231	-0.042094377790884305	-0.08277010146229125	-0.011211716535729681	0.0	0.0	-0.02302995714883835	-0.0059296296442300205	0.0	-0.004184100418410063	0.1816807730630589	-0.004184100418410062	0.0	-0.007277588641546778	0.0778631884555964	-0.005929629644230001	-0.01670149777397241	-0.021058871793473752	0.0	0.07460066876259892	-0.03276290525493655	-0.009435221945331309	-0.02205727327813414	-0.050104493321917055	0.0	-0.02849281277254855	-0.02156154091177183	1.0	0.0	-0.004184100418410054	-0.012767807149960307	-0.01035782921818465	-0.022057273278134133	0.0	-0.01841877806143779	0.0	-0.022546588410793038	-0.0041841004184100606	-0.031073487654553627	-0.0697323683016942	-0.010357829218184634	-0.023029957148838587	-0.016701497773972406	0.2951361774774329	0.06505622238074323	-0.03574543410843837	-0.0825687288002829	-0.01884978796642262	0.06177361654729497	-0.022436528216290025	-0.020166777594122744	-0.030133252019917896	0.039387040327961344	-0.03580932549475852	0.0020182794702015322	0.03012721736933659	-0.015533600204566879	0.0025505814784705185	-0.02437046851067865	-0.02741890426670385	0.07817957420693575	0.07146967176460288	0.09625831902019787	-0.042140542461774774	-0.015451005231375997	-0.018914998497336178	-0.05941707065532504	-0.04558017048915348	-0.02469898947538675	-0.024618544328089756	-0.02666276422804554
workshop_activity	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
shopping_activity	-0.060866748372944056	0.002883737722573595	-0.06737674413643271	0.04108918618643748	0.017910437175880572	-0.04812065577582139	-0.09685129199040851	-0.08277010146229116	-0.011211716535729657	0.0	0.0	-0.02302995714883841	-0.005929629644230022	0.0	-0.00418410041841006	-0.023029957148838372	-0.004184100418410059	0.0	-0.0072775886415468016	-0.05373656668062308	-0.005929629644230011	-0.016701497773972444	-0.021058871793473707	0.0	-0.056086634179179945	-0.03276290525493668	-0.009435221945331336	-0.022057273278134205	0.08350748886986273	0.0	-0.028492812772548625	-0.02156154091177193	-0.004184100418410054	0.0	1.0	-0.012767807149960413	-0.010357829218184697	-0.022057273278134178	0.0	-0.01841877806143789	0.0	-0.022546588410793076	-0.004184100418410058	0.13465177983639884	-0.06973236830169464	-0.010357829218184686	0.18168077306305996	-0.016701497773972444	-0.014176846953064511	-0.05088462924330693	-0.03574543410843837	-0.08256872880028311	-0.018849787966422574	0.08314887394282325	-0.02243652821629003	-0.020166777594122876	-0.04857546090642512	0.10694326658207437	-0.05297831261173157	0.003527323169131864	-0.022229675744888936	0.018306835420017133	-0.04455032458186915	0.0005692542112319209	-0.03616961839437534	-0.024050074026657736	-0.0013656625177949628	-0.02861733808708582	0.0350361031825049	0.13047515528717543	-0.018914998497336247	-0.04153607133585425	-0.032456069645084934	-0.024698989475386846	-0.02461854432808992	-0.02666276422804565
studying_activity	-0.05773825580745761	0.08100275972545147	-0.059784552105538506	-0.01998873679436183	0.06766661555595255	-0.11228976768726891	0.0015084608430460569	0.06384966502614867	-0.034212619257023534	0.0	0.0	-0.07027605032002307	-0.01809429989660375	0.0	-0.012767807149960148	-0.07027605032002317	-0.01276780714996023	0.0	-0.022207604741790208	-0.030118307280009988	-0.018094299896603886	0.22084711628963907	0.0847503728366415	0.0	-0.03821766989232085	-0.09997619897621944	-0.02879163551739951	0.14807737943049729	-0.016988239714587638	0.0	-0.08694598653491678	-0.06579516949597662	-0.012767807149960307	0.0	-0.012767807149960413	1.0	-0.03160697706205065	-0.06730789974113506	0.0	-0.05620501008809808	0.0	-0.06880104775972892	-0.012767807149960248	-0.09482093118615274	0.051135277141176785	-0.03160697706205061	-0.07027605032002382	0.22084711628963904	-0.043260732246003394	-0.06674597275663421	-0.0012732637288478392	0.029692213242614042	0.12680713941785185	-0.0023669062236802148	0.09777813353100093	-0.06153904099073689	0.03735018331488693	-0.07835660122329859	0.07700768725670404	0.3212796941406695	-0.06066194163358825	0.0027846183640440887	0.030943482889587353	-0.06646117108715699	-0.036197204619932394	0.07932227156377605	-0.1770342350809498	-0.0026462417050917707	-0.081734532292798	-0.04423841192396584	-0.0577192296803301	-0.07521492398089251	0.002004980760571305	-0.0011119488343320544	0.004074640756931263	0.03325451770315559
working_activity	-0.026797754867458425	0.007138753818868221	0.06387800069150526	0.10171715080276009	0.02850278568962131	0.09109459619759214	-0.0251335816483179	0.01512678211081598	-0.027754841783628307	0.0	0.0	0.027449811407246432	-0.014678923792502617	0.0	-0.010357829218184579	-0.057011146768896605	-0.010357829218184615	0.0	0.4624061710055604	-0.07872967887133331	-0.01467892379250268	-0.041344911529735885	0.12919591058349844	0.0	0.18467553579867968	-0.08110526598000398	0.910926579940755	-0.054603247242463473	-0.06890818588289359	0.0	-0.07053456158585959	-0.053376051268362534	-0.01035782921818465	0.0	-0.010357829218184697	-0.03160697706205065	1.0	-0.054603247242463515	0.0	-0.04559607525875556	0.0	0.11592254191554274	-0.010357829218184624	0.05982905982905947	-0.06557033945122208	-0.025641025641025703	0.11191076958339105	-0.04134491152973591	-0.03509508494253138	0.025136085238691524	0.04187315054189387	0.11289927180712894	-0.0466630494086919	-0.004167496330678394	0.034079458547084426	-0.04992328513004695	0.0376374399322244	-0.015120025604691261	0.016460026563617884	-0.011295735399596352	-0.05329804830173347	0.04732570053272106	-0.01372734865255409	-0.045174681219183686	-0.03899264074327172	0.03281127303769464	0.004131999045570081	0.03220128483628829	-0.055445930358918684	-0.0347076897556937	-0.04682447945933227	0.12587800393114293	0.2553738717807152	-0.061142871648622386	-0.06094372798240676	-0.06600423764775684
friend_home_location	0.3762689084914024	0.11623810348083032	-0.01058010367084133	-0.38612976903465995	-0.018883648469860036	-0.06744826388701597	0.1071655390578209	-0.014642220690732233	0.021953165013144777	0.0	0.0	0.09442747685881918	-0.03125915929871663	0.0	-0.022057273278134067	0.4829290959351027	-0.022057273278134105	0.0	-0.03836517899191334	0.02196884155490909	-0.03125915929871664	-0.08804509063256236	-0.11101580832860393	0.0	0.007463546216074237	0.06415159204922201	-0.04973954926423659	0.1516279069767447	0.10213230513377254	0.0	-0.07625803888714673	-0.11366572324507895	-0.022057273278134133	0.0	-0.022057273278134178	-0.06730789974113506	-0.054603247242463515	1.0	0.0	-0.09709805705495216	0.0	-0.11885858663388596	-0.02205727327813411	-0.16380974172739032	-0.36760731104690497	-0.05460324724246354	-0.12140675596133893	-0.0880450906325624	-0.07473591840437968	0.08503395386828641	-0.003670646296290081	0.018231098733575247	0.0025408978680854424	-0.09065542981319326	0.01267264955206527	0.1319923963824661	0.11822838210532338	-0.026378441930064892	0.095081911752718	-0.03211519774073525	-0.054463307356474776	0.07314562670639345	-0.04236012392622939	0.04820968056709181	0.03813499091848859	-0.006056118044559034	-0.041756213384213196	0.13879275181591155	0.3145133401380092	0.2371183947992639	0.11517981778515618	0.06193868248531463	-0.032725944960230395	-0.01863098015959825	-0.012673588347543145	-0.06809279701847404
library_location	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
la_location	-0.17254691638475808	0.06477433211939138	0.061002498324699346	0.07602127736487096	0.2196349622745982	-0.10383890159728423	-0.07817215238717039	0.09210922405085295	0.13866394180026012	0.0	0.0	-0.10137989700784027	-0.0261027512444592	0.0	-0.018418778061437557	-0.001251603666763499	-0.01841877806143767	0.0	-0.03203658531265023	0.24620832130475456	-0.026102751244459252	0.0571833594961851	0.12226048604650606	0.0	0.23251587179179828	-0.10498024081233477	-0.041534676894179036	-0.04531242662564437	-0.15521197577535972	0.0	0.003216099178412275	0.06327719971683393	-0.01841877806143779	0.0	-0.01841877806143789	-0.05620501008809808	-0.04559607525875556	-0.09709805705495216	0.0	1.0	0.0	-0.09925206530745297	-0.0184187780614377	0.5927489783638205	0.23240731130937656	0.05572853642736747	-0.10137989700784113	-0.0735214622093815	-0.06240772723583147	-0.02838646487134039	0.0894235803496442	-0.13875140647452608	-0.08297842459302766	0.034254402861834905	-0.0014899060350407368	-0.0202245189955075	0.04759908467227774	-0.08069625121986462	0.18916693248686536	-0.014622324353042214	0.06764388489429903	-0.20064829147880153	0.08075883327808332	0.12039403961423807	0.06762648108067652	-0.16328583882628012	0.06969196005688999	-0.0648967475416229	-0.14249040357002646	-0.110002291484544	-0.06060821168831188	0.07734717391469392	-0.008859829569770432	-0.05445204664375678	-0.05489655219849757	-0.07234227727712089
therapy_location	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
